title,creator,date,subject,description,category,section,publisher,source,identifier,language,rights,rightsstatement,type,format,original_link,verso_permalink
June 2023 Newsletter,"Himes, Katherine",2023-06,,,Newsletter,,James A. & Louise McClure Center for Public Policy Research,James A. & Louise McClure Center for Public Policy Research,DOI: 10.1073/pnas.2403691121,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13323248620001851&download=true,https://verso.uidaho.edu/esploro/outputs/996740249701851
March 2023 Newsletter,"Himes, Katherine",2023-03,,,Newsletter,,James A. & Louise McClure Center for Public Policy Research,James A. & Louise McClure Center for Public Policy Research,DOI: 10.1016/j.worlddev.2024.106887,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13323248570001851&download=true,https://verso.uidaho.edu/esploro/outputs/996740249601851
"COVID-19 experiences of small-scale fishing households: The case of Lake Victoria, Kenya","Okronipa, Harriet; Baez, Jazmin; Onyango, Horace Owiti; Aura, Christopher Mulanda; Fiorella, Kathryn J; Bageant, Liz",2023-02-02,,"Introduction: The impact of COVID-19 on small-scale fishing communities is of great concern given the importance of aquatic foods in trade, nutrition and livelihoods. Using a case study of Lake Victoria, augmented by published literature, we examine the socioeconomic dynamics and severity of COVID-19 impacts on Kenyan fishing communities.Methods: A household level questionnaire was administered through phone interviews on a monthly basis from June 2020 to May 2021, including a focus group discussion in July 2021.Results: We find that multifold fear of COVID-19 infection and control measures were present and varied across case rates and stringency of control measures. Fishers and traders reported being affected by disease control measures that limited market access and their ability to fish overnight. I",Research Reports,,Frontiers Media S.A.,"Frontiers in Sustainable Food Systems, 6",DOI: 10.1007/s11077-019-09357-z,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996747348901851
Building research capacity in an under-represented group: The STAARS program experience,"Schreiber, Kelsey L.; Barrett, Christopher B; Bageant, Liz; Shimeles, Abebe; Upton, Joanna B.; DiGiovanni, Maria",2022-12,Agriculture; Economics; Social Sciences; Agricultural Economics & Policy; Business & Economics; Life Sciences & Biomedicine; Science & Technology,"For decades, the lack of high-quality empirical economic research on the state of Africa's agriculture and rural economies has been an important factor impeding the formulation of evidence-based policy on the continent. The Structural Transformation of African Agriculture and Rural Spaces program aims to build a critical mass of early career African scholars and policy research through an emphasis on mentorship and professional development to help remedy that deficiency. This paper explains the motivations, origins, and outcomes to date of the program, and offers lessons learned for others wishing to create research capacity development opportunities for under-represented groups.",Research Reports,,Wiley,"Applied Economic Perspectives and Policy, 44, 4, 1925-1941",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996747348801851
McClure Center - November 2022 Newsletter,,2022-11,,,Newsletter,,,James A. & Louise McClure Center for Public Policy Research,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13311417920001851&download=true,https://verso.uidaho.edu/esploro/outputs/996655549901851
"Girls and Women in Idaho – Economics, Health and Leadership","Whitney, Gina; Callahan, Crystal; Himes, Katherine",2022-11,,"This landscape analysis is the first to summarize economics, health, and leadership specific to girls and women in Idaho. It explores wealth, debt, wages, education, employment, caregiving, health, poverty and low-income, housing, interpersonal and intimate partner violence, incarceration, and leadership. The University of Idaho James A. and Louise McClure Center for Public Policy Research conducted a literature review; collected national, regional, statewide, and local published data; and gathered unpublished Idaho-specific data. Data presented in this report reflect the language of each primary source. Breadth and depth of data on girls and women in Idaho are limited. When information about Idaho or specific subsections of women and girls in Idaho was not available, national data were used to describe the scope of an issue and how it may relate to Idaho. Data summarized in this report represent a snapshot in time. Many of the outcomes (wealth, debt, wages, caregiving) are presented as single data points that are a culmination of complex processes. Fully describing these processes is beyond the scope of this report.",Research Reports,,Idaho Department of Health and Welfare,Idaho Department of Health and Welfare,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13322978350001851&download=true,https://verso.uidaho.edu/esploro/outputs/996738449701851
Idaho Rangelands,"Hulet, April",2022-10,Range Management,"Idaho is composed of rangelands (55%), forests (32%), and cultivated crops (11%).1 Rangelands are ecologically diverse landscapes that have been home to people for centuries and have a legacy of multiple uses, impacting where and how people live, work, and recreate. Many of Idaho’s pressing issues intersect with rangelands, including water resources, wildfires, wildlife health, invasive species, and economic development.",Idaho at a Glance Policy Briefs,,,"Idaho At a Glance, 12, 1",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13311905220001851&download=true,https://verso.uidaho.edu/esploro/outputs/996658645101851
McClure Center - March 2022 Newsletter,,2022-03,,,Newsletter,,,James A. & Louise McClure Center for Public Policy Research,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13311998460001851&download=true,https://verso.uidaho.edu/esploro/outputs/996659149701851
Idaho Rangelands (2022),"Hulet, April",2022,,"This report highlights the ecological diversity and multiple uses of Idaho's rangelands, addressing issues like water resources, wildfires, and economic development.",Idaho at a Glance Policy Briefs,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho at a Glance Policy Briefs,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854880001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648701851
Idaho's Economy & Climate Change (2022),"Donahue, Kelsea; Foster, Megan",2022,,"This report examines how climate change affects Idaho's major economic sectors, such as agriculture, energy, forests, infrastructure, and human health, through changes in temperature, precipitation, and snowpack.",Idaho at a Glance Policy Briefs,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho at a Glance Policy Briefs,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854920001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343301851
Agricultura Instantánea,,2022,Agriculture,"This report examines the impact of climate change on Idaho's agriculture, highlighting regional differences and the resulting challenges for crops and livestock.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855340001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679342501851
Clima Instantánea,,2022,Climate,"This report highlights how climate change impacts Idaho's economy, affecting agriculture, energy, human health, and more, due to rising temperatures and changing precipitation patterns.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855360001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679647901851
Energía Instantánea,,2022,Energy,"This report analyzes Idaho's transition to clean energy, highlighting the role of renewable sources and the challenges the energy sector faces due to climate change./Este informe analiza la transición de Idaho hacia la energía limpia, destacando el papel de las fuentes renovables y los desafíos del sector energético frente a los cambios climáticos",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855320001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679342601851
Salud humana Instantánea,,2022,Human Health,"This report outlines how climate change impacts the health of Idahoans, increasing risks of heat-related illnesses, respiratory issues, and other health disorders./Este informe describe cómo el cambio climático afecta la salud de los ciudadanos de Idaho, aumentando los riesgos de enfermedades relacionadas con el calor, problemas respiratorios y otros trastornos de salud",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855200001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343001851
Infraestructura Instantánea,,2022,Infrastructure,"This report details the significant impacts of climate change on Idaho's infrastructure, highlighting vulnerabilities and adaptation strategies for transportation, energy, and communication system",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854900001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648601851
Bosques Instantánea,,2022,Land,"This snapshot examines the effects of climate change on Idaho's forests, focusing on increased risks from wildfires, pests, and economic contributions from timber and recreation.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855160001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679342701851
Pastizales Instantánea,,2022,Land,"This report discusses the impact of climate change on Idaho's grasslands, focusing on challenges for livestock production, wildlife habitat, and recreation due to rising temperatures and altered precipitation patterns",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855220001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648301851
Recreación y turismo Instantánea,,2022,Recreation and Tourism,"This report examines the impact of climate change on Idaho's recreation and tourism industry, focusing on shorter seasons and increased closures due to wildfires and other climate-related issues",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855140001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679647801851
Humo Instantánea,,2022,Smoke,"This report discusses the extensive impacts of wildfire smoke on Idaho's economy, infrastructure, agriculture, energy, and human health, predicting significant increases in smoke-related issues by 2050",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855180001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648101851
Agua Instantánea,,2022,Water,"This report examines the impact of climate change on Idaho's water resources, highlighting the challenges for water availability and quality due to changing precipitation patterns and rising temperatures.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855100001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648501851
NATURAL RESOURCE POLICY AND COLLABORATIVE PROCESSES,"Callahan, Crystal; Himes, Katherine",2022,Natural Resources Management; Public Policy; Collaborative Governance,"Idaho has been engaging in collaborative governance to tackle wicked natural resource issues. Over the past two decades, Idaho has utilized collaborative governance and collaborative processes to support forest management, water management, endangered/threatened species, and alternatives to national monument designation. Idaho agencies and federal agencies have found success in bringing local resource interests to a big negotiating table, together crafting solutions that rely on local stakeholder knowledge, guidance, and commitment.",Research Reports,,University of Idaho College of Law,"Idaho Law Review, 58, 1, 74-90",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13322978400001851&download=true,https://verso.uidaho.edu/esploro/outputs/996738449801851
July 2022 Newsletter,"Himes, Katherine",2022,,"The report highlights the growth and expansion of the McClure Center, detailing student engagement and program initiatives such as the Martin-McClure Ambassadors and new staff additions.",Newsletter,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Newsletter,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854940001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343601851
November 2022 Newsletter,"Himes, Katherine",2022,,"This report discusses Idaho rangelands, their ecological diversity, and their significant impact on the state's lifestyle and pressing issues. It also covers the economic risks and opportunities tied to climate change in Idaho.",Newsletter,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Newsletter,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855000001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343401851
March 2022 Newsletter,"Himes, Katherine",2022,,"This newsletter discusses the McClure Center's initiatives to offer immersive learning and applied research experiences for University of Idaho students across various levels, highlighting the JAMM-McClure Legislative Internship and the participation in the 4-H Know Your Government Conference.",Newsletter,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Newsletter,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855120001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649201851
