objectid,title,author,reader,creator type,date,subject,description,location,lat long,grade-level,identifier,format,digital specifications,language,rights,standardized rights,type,contributing institution,date created,date modified,reference url,cdmid,soundid,soundlink,contentdm file name,contentdm file path
guidedread209,Deer of Idaho,"Whitling, Jed",Adrienne Vitullo,Teacher,2016,deer; Idaho; wildlife; habitat,informational text about deer,,,first,Deer_of_Idaho,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/209,209,210,211.mp3,210.pdf,/guidedread/image/210.pdf
guidedread210,Deer of Idaho (Audio),"Whitling, Jed",Adrienne Vitullo,Teacher,2016,deer; Idaho; wildlife; habitat,informational text about deer,,,first,Deer_of_Idaho,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/210,210,,,211.mp3,/guidedread/image/211.mp3
guidedread146,Digestive System,"Snow, Michelle",none,Teacher,2014,digestive system,Fifth-grade level informtational text about digestive system,,,Fifth,digestivesystem,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2014-11-11,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/146,146,nullo,,147.pdf,/guidedread/image/147.pdf
guidedread388,Dinosaurs,Brianna Ballantyne,Adrienne Vitullo,Student,2017,dinosaurs,informational text about dinosaurs,,,fifth,Dinosaurs,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/388,388,878,272.mp3,422.cpd,/guidedread/supp/388/index.pdf
guidedread878,Dinosaurs,Brianna Ballantyne,Adrienne Vitullo,Student,2017,dinosaurs,informational text about dinosaurs,,,fifth,Dinosaurs,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/878,878,,,272.mp3,/guidedread/image/272.mp3
guidedread255,Dogs,"James, Emily",none,Teacher,2016,,informational text about dogs,,,,Dogs,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/255,255,nullo,,256.pdf,/guidedread/image/256.pdf
guidedread161,Earth,"Hart, Sierra",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about Earth.,,,Fifth,Earth,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/161,161,191,192.mp3,162.pdf,/guidedread/image/162.pdf
guidedread191,Earth (Audio),"Hart, Sierra",Isla Rosewood,Teacher,2014,,Audio recording of a Fifth grade level informational text about Earth.,,,Fifth,Earth,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/191,191,,,192.mp3,/guidedread/image/192.mp3
guidedread158,Eastern Tailed Blue Butterfly,"Boyd, Brittany",Isla Rosewood,Teacher,2014,,Third grade level informational text about the Eastern Tailed Blue Butterfly .,,,Third,EasternTailedBlueButterfly,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/158,158,179,180.mp3,159.pdf,/guidedread/image/159.pdf
guidedread179,Eastern Tailed Blue Butterfly (Audio),"Boyd, Brittany",Isla Rosewood,Teacher,2014,,Audio recording of a Third grade level informational text about the Eastern Tailed Blue Butterfly .,,,Third,EasternTailedBlueButterfly,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/179,179,,,180.mp3,/guidedread/image/180.mp3
guidedread406,Egypt,Haven Davis-Martinez,Adrienne Vitullo,Student,2017,Egypt; pyramids,informational text about Egypt,,,third,Egypt,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/406,406,880,274.mp3,440.cpd,/guidedread/supp/406/index.pdf
guidedread880,Egypt,Haven Davis-Martinez,Adrienne Vitullo,Student,2017,Egypt; pyramids,informational text about Egypt,,,third,Egypt,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/880,880,,,274.mp3,/guidedread/image/274.mp3
guidedread211,Elephants,"Hodge, Sarah",Adrienne Vitullo,Teacher,2016,elephants; Africa; Asia,informational text about elephants,,,third,Elephant,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/211,211,212,213.mp3,212.pdf,/guidedread/image/212.pdf
guidedread212,Elephants (Audio),"Hodge, Sarah",Adrienne Vitullo,Teacher,2016,elephants; Africa; Asia,informational text about elephants,,,third,Elephant,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/212,212,,,213.mp3,/guidedread/image/213.mp3
guidedread424,Elephants [2],Kirsti Appleby,Adrienne Vitullo,Student,2017,elephants; Africa; Asia,informational text about elephants,,,fourth,Elephants,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/424,424,881,275.mp3,458.cpd,/guidedread/supp/424/index.pdf
guidedread881,Elephants [2] (Audio),Kirsti Appleby,Adrienne Vitullo,Student,2017,elephants; Africa; Asia,informational text about elephants,,,fourth,Elephants,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/881,881,,,275.mp3,/guidedread/image/275.mp3
guidedread213,Emily Noether,"Hardy, Jordan",Adrienne Vitullo,Teacher,2016,math; history; feminism,informational text about Emily Noether,,,sixth,Noether,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/213,213,214,215.mp3,214.pdf,/guidedread/image/214.pdf
guidedread214,Emily Noether (Audio),"Hardy, Jordan",Adrienne Vitullo,Teacher,2016,math; history; feminism,informational text about Emily Noether,,,sixth,Noether,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/214,214,,,215.mp3,/guidedread/image/215.mp3
guidedread215,Emperor Penguins,"Reynolds, Jill",Adrienne Vitullo,Teacher,2016,penguins; Antarctica,informational text about Emperor penguins,,,first,Emperor_Penguin,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/215,215,220,221.mp3,216.pdf,/guidedread/image/216.pdf
guidedread220,Emperor Penguins (Audio),"Reynolds, Jill",Adrienne Vitullo,Teacher,2016,penguins; Antarctica,informational text about Emperor penguins,,,first,Emperor_Penguin,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/220,220,,,221.mp3,/guidedread/image/221.mp3
guidedread162,Energy,"Merritt, Kelsy",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about energy.,,,Fifth,Energy,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/162,162,194,195.mp3,163.pdf,/guidedread/image/163.pdf
