title,creator,description,date,date_approximate,subject,source,publisher,identifier,format,type,rights,rightsstatement,language,digital_specifications,date_digital,location,latitude,longitude,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Idaho State Forestry Booth,U.S. Forest Service Photo,A booth set up describing the Tussock Moth invasion in Idaho.,1965,yes,forestry;,ID Dept of Lands,USDA Forest Service,FS_photo2,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/46,46,forestryresearch46,image,forestryresearch46.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch46.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch46_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch46_th.jpg,
Examining Tussock Moth Damage,U.S. Forest Service Photo,A Forest Service professional examining Tussock Moth damage.,1965,yes,portraits; forests (plant communities);,ID Dept of Lands,USDA Forest Service,FS_photo3,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/47,47,forestryresearch47,image,forestryresearch47.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch47.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch47_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch47_th.jpg,
Field Phone,U.S. Forest Service Photo,A Forest Service professional making a telephone call via portable telephone.,1965,yes,portraits; automobiles; forests (plant communities); rangers (forest);,ID Dept of Lands,USDA Forest Service,FS_photo4,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/48,48,forestryresearch48,image,forestryresearch48.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch48.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch48_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch48_th.jpg,
DDT Application,"Ciesla, Bill",Spraying DDT on Douglas Fir Tussock Moth in Northern Idaho,1974,,forests (plant communities); helicopters;,ID Dept of Lands,,ddt_spray_photos20,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/49,49,forestryresearch49,image,forestryresearch49.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch49.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch49_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch49_th.jpg,
Pesticide Refill,U.S. Forest Service Photo,A helicopter lands to refill with pesticide for aerial application.,1965,yes,portraits; helicopters; automobiles; forests (plant communities); rangers (forest);,ID Dept of Lands,USDA Forest Service,FS_photo5,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/50,50,forestryresearch50,image,forestryresearch50.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch50.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch50_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch50_th.jpg,
Aerial Application via Helicopter [1],U.S. Forest Service Photo,A helicopter spraying pesticide on forest trees.,1965,yes,helicopters; forests (plant communities);,ID Dept of Lands,USDA Forest Service,FS_photo6,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/51,51,forestryresearch51,image,forestryresearch51.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch51.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch51_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch51_th.jpg,
Tussock Moth Damage on Fir Needles,U.S. Forest Service Photo,Forest Service professional displays a Tussock Moth on fir needles.,1965,yes,forests (plant communities);,ID Dept of Lands,USDA Forest Service,FS_photo7,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/52,52,forestryresearch52,image,forestryresearch52.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch52.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch52_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch52_th.jpg,
Polar Bear,"Lustig, Bonnie",A hand drawn sketch of a polar bear.,1970,,wildlife; sketches;drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I1,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/53,53,forestryresearch53,image,forestryresearch53.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch53.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch53_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch53_th.jpg,
Townsend's Chipmunk,"Lustig, Bonnie",A hand drawn sketch of a Townsend's chipmunk.,1970,,wildlife; sketches; rodentia (order); drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I2,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/54,54,forestryresearch54,image,forestryresearch54.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch54.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch54_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch54_th.jpg,
Cotton Tail,"Lustig, Bonnie",A hand drawn sketch of a cotton tail rabbit.,1970,,wildlife; sketches; drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I3,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/55,55,forestryresearch55,image,forestryresearch55.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch55.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch55_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch55_th.jpg,
Walrus,"Lustig, Bonnie",A hand drawn sketch of a walrus.,1970,,wildlife; sketches; drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I4,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/56,56,forestryresearch56,image,forestryresearch56.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch56.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch56_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch56_th.jpg,
Least Chipmunk,"Lustig, Bonnie",A hand drawn sketch of a least chipmunk.,1970,,wildlife; sketches; rodentia (order); drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I5,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/57,57,forestryresearch57,image,forestryresearch57.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch57.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch57_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch57_th.jpg,
Uinta Chipmunk,"Lustig, Bonnie",A hand drawn sketch of an uinta chipmunk.,1970,,wildlife; sketches; rodentia (order); drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I6,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/58,58,forestryresearch58,image,forestryresearch58.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch58.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch58_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch58_th.jpg,
Cliff Chipmunk,"Lustig, Bonnie",A hand drawn sketch of a cliff chipmunk.,1970,,wildlife; sketches; rodentia (order); drawings (visual works);,Earl Junior Larrison Papers (MG233),,MG233_F100_I7,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/59,59,forestryresearch59,image,forestryresearch59.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch59.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch59_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch59_th.jpg,
Landing for Recharge,"Schofield, Phil",Evergreen 205-Bell Landing for Pesticide Recharge,1974,,group portraits; helicopters; automobiles; rangers (forest);,ID Dept of Lands,,ddt_spray_photos18,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/60,60,forestryresearch60,image,forestryresearch60.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch60.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch60_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch60_th.jpg,
Frog,"Larrison, Earl J.",A black and white photo of a frog in someone's hand.,1973,yes,wildlife; frogs (animals);,Earl Junior Larrison Papers (MG233),,MG233_F79_R22_I1,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/61,61,forestryresearch61,image,forestryresearch61.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch61.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch61_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch61_th.jpg,
Forested Mountain,"Larrison, Earl J.",A black and white photo of a forested mountain scene.,1973,yes,scenery (landscape); forests (plant communities); mountains;,Earl Junior Larrison Papers (MG233),,MG233_F79_R22_I2,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/62,62,forestryresearch62,image,forestryresearch62.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch62.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch62_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch62_th.jpg,
Grouse,"Larrison, Earl J.",A black and white photo of a grouse on a log.,1973,yes,wildlife; fowl; log (wood);,Earl Junior Larrison Papers (MG233),,MG233_F79_R22_I3,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/63,63,forestryresearch63,image,forestryresearch63.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch63.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch63_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch63_th.jpg,
Grouse on a Log,"Larrison, Earl J.",A black and white photo of a grouse on a log.,1973,yes,wildlife; fowl; log (wood);,Earl Junior Larrison Papers (MG233),,MG233_F79_R22_I4,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/64,64,forestryresearch64,image,forestryresearch64.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch64.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch64_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch64_th.jpg,
Rodent Case,"Larrison, Earl J.",A black and white photo of a display case containing several species of forest rodents.,1973,yes,wildlife; taxidermy; rodentia (order);,Earl Junior Larrison Papers (MG233),,MG233_F79_R22_I6,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/65,65,forestryresearch65,image,forestryresearch65.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch65.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch65_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch65_th.jpg,
Catching Rodents,"Larrison, Earl J.",A black and white photo of a man holding a rodent.,1973,yes,portraits; wildlife; fieldwork (research); rodentia (order);,Earl Junior Larrison Papers (MG233),,MG233_F79_R30_I1,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/66,66,forestryresearch66,image,forestryresearch66.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch66.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch66_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch66_th.jpg,
Nursery Work and Planting,"Krueger, Carl",Covers a brief outline of tree seedling nursery work and replanting including costs.,1927,yes,nurseries (horticulture); agriculture;  instructions (document genre); procedures;,Carl Krueger Papers (MG84),,nursery_work,application/pdf,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/67,67,forestryresearch67,pdf,forestryresearch67.pdf,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch67.pdf,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch67_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch67_th.jpg,
