title,creator,description,date,date_is_approximate,subject-lcsh,subject,relation,contributing_institution,publisher_digital,digital_collection_website,source,identifier,publisher,format_original,type,format,digitization_specifications,rights,rightsstatement,language,date_digital,coverage,idaho_county,latitude,longitude,cdm_url,cdmid,objectid,timelinejs,display_template,filename,object_location,image_small,image_thumb,errors
The Washington Water Power Company,"Curtis, Albert B. (Albert Bruce), 1903-1985","A letter to K.M. Robinson from Bert Curtis, discussing the congressional bill on Trinity River",1955-12-22,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-017,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/21,21,dworshak21,,pdf,dworshak21.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak21.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak21_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak21_th.jpg,
Letter to Bert Curtis,Bill,A letter to Bert Curtis relating information on the Bruces Eddy partnership project. The letter writer discusses some conflict with Henry Dworshak.,1955-07-13,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak, Henry Clarence, 1894-1962;",senators; correspondence,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-014,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/23,23,dworshak23,,pdf,dworshak23.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak23.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak23_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak23_th.jpg,
Bruces Eddy Bill,"Smith, Allan A.",Cover letter for the Bruces Eddy Bill,1956-01-05,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-020,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/25,25,dworshak25,,pdf,dworshak25.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak25.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak25_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak25_th.jpg,
Letter to Dennis Chavez,"Stevens, Robert T.",A draft[?] of a letter from Robert T. Stevens to Dennis Chavez.,1955-06-01,,"Chavez, Dennis, 1888-1962--Correspondence;Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",reports; correspondence,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-009,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/28,28,dworshak28,,pdf,dworshak28.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak28.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak28_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak28_th.jpg,
Letter from Oliver A. Lewis,"Lewis, Oliver A.",A handwritten letter from Oliver A. Lewis to Bert Curtis.,1955-06-02,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; trips,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-012,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/31,31,dworshak31,,pdf,dworshak31.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak31.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak31_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak31_th.jpg,
Letter to Sylvia Harrell,"Curtis, Albert B. (Albert Bruce), 1903-1985","A letter from Bert Curtis to Silvia Harrell of the Lewiston Morning Tribune, which constitutes a statement regarding the Bruces Eddy project",1955-09-03,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-016,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/34,34,dworshak34,,pdf,dworshak34.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak34.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak34_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak34_th.jpg,
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985","A letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",1955-04-19,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-003,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/37,37,dworshak37,true,pdf,dworshak37.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak37.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak37_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak37_th.jpg,
Congressional Resolution,,"A typed copy of a congressional resolution in which Congress authorizes the Secretary of the Interior to construct, operate and maintain the Trinity River division, Central Valley project, California, under Federal reclamation laws.",1955-07-13,,,,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-015,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/41,41,dworshak41,,pdf,dworshak41.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak41.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak41_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak41_th.jpg,
Response to the Bruces Eddy Bill,"Curtis, Albert B. (Albert Bruce), 1903-1985",A typed message from Bert Curtis to Allan A. Smith responding to a draft of the Bruces Eddy Bill.,1956-01-09,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-021,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/43,43,dworshak43,,pdf,dworshak43.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak43.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak43_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak43_th.jpg,
Bruces Eddy Bill,,A typed draft of a bill to provide for the construction of Bruces Eddy,1956-01-04,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-019,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/48,48,dworshak48,,pdf,dworshak48.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak48.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak48_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak48_th.jpg,
Letter from Senator Richard L. Neuberger,"Neuberger, Richard L.","A Letter to Bert Curtis from Senator Richard L. Neuberger discussing ""user charges"" for navigation. A copy of the congressional record for June 22, 1955, proceedings of the 84th congress, sent to Bert Curtis, is also attached.",1955-06-29,,"Neuberger, Richard L. (Richard Lewis), 1912-1960--Correspondence; Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",senators; correspondence,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-011,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/53,53,dworshak53,,pdf,dworshak53.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak53.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak53_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak53_th.jpg,
Response to the Bruces Eddy Bill,"Smith, Allan A.",A response from Allan Smith to Bert Curtis regarding the Bruces Eddy Bill.,1956-01-11,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-022,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/55,55,dworshak55,true,pdf,dworshak55.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak55.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak55_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak55_th.jpg,
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985",A typed letter to Len Jordan from Bert Curtis in which Curtis lobbies for the speedy construction of Bruces Eddy and Penny Cliffs.,1956-02-20,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-023,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/57,57,dworshak57,true,pdf,dworshak57.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak57.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak57_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak57_th.jpg,
