title,description,creator,recipient,date,date-is-approximate?,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Dr. Robinson's Fireside Hour No. 2,Typescript of a radio program during which Robinson plays his pipe organ. Five-page typescript includes introduction words by a radio announcer and explanations from Robinson in regards to the hymns he writes and chooses to play on the program along with the lyrics and titles of each hymn.,,,1934-11-01,,multiple-page; transcripts,Pipe Organ; Hymns; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 30",MG101_b5_f30_b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/121,121,55.pdf,/psychiana/image/55.pdf,psychiana121,pdf,psychiana121.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana121.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana121_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana121_th.jpg,""
Flashes of Truth No. 1,"Radio program about Psychiana and Robinson's beliefs. First transcript of six includes brief introduction of Robinson and discussion of the existence of the God-Law, whereby Robinson uses components of the radio and radio waves and the natural combination of molecules to make water as examples of a 'power' or 'law' or 'order' in the universe.",The Izzard Company,,1935,yes,multiple-page; transcripts,Psychiana Criticism; Examples of God-Law; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 31",MG101_b5_f31_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/122,122,56.pdf,/psychiana/image/56.pdf,psychiana122,pdf,psychiana122.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana122.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana122_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana122_th.jpg,""
Flashes of Truth No. 2,Radio program about Psychiana and Robinson's beliefs. Second transcript of six includes brief introduction of Robinson and discussion in which Robinson refutes the stories of orthodox religions as mere copies of stories from other religions and uses this lack of truth to discuss what he claims is the truth--the universal law of God on earth.,The Izzard Company,,1935,yes,multiple-page; transcripts,God-Law; Criticizing Orthodox Reilgions; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 31",MG101_b5_f31_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/123,123,57.pdf,/psychiana/image/57.pdf,psychiana123,pdf,psychiana123.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana123.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana123_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana123_th.jpg,""
Flashes of Truth No. 3,"Radio program about Psychiana and Robinson's beliefs. Third transcript of six includes brief introduction of Robinson and discussion in which Robinson claims that miracles like the virgin birth and resurrection are not true. He asserts that God would not break a law He created to govern the universe, uses myths from pagan religions for evidence against miracles, and discusses how miracles create barriers between people and God.",The Izzard Company,,1935,yes,multiple-page; transcripts,God-Law; Resurrection; Radio Transcripts; Paganism,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 31",MG101_b5_f31_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/124,124,58.pdf,/psychiana/image/58.pdf,psychiana124,pdf,psychiana124.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana124.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana124_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana124_th.jpg,""
Flashes of Truth No. 4,"Radio program about Psychiana and Robinson's beliefs. Fourth transcript of six includes brief introduction of Robinson and discussion in which Robinson claims God is not a personality but a force of law we give a personality, and when the interviewer expresses resignation from an upbringing in 'organized religion' Robinson explains that if such religions are not the truth we should want to discover the truth quickly.",The Izzard Company,,1935,yes,multiple-page; transcripts,God-Law; Criticizing Orthodox Reilgions; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 31",MG101_b5_f31_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/125,125,59.pdf,/psychiana/image/59.pdf,psychiana125,pdf,psychiana125.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana125.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana125_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana125_th.jpg,""
Holmes - Robinson Spiritual Awakening,"Transcript of discussion series, American Spiritual Awakening. Heavily corrected typescripts of Earnest Holmes's speeches on September 21 (7 pages), September 23 (14 pages) and September 25 (8 pages) during the American Spiritual Awakening, launched in Los Angeles and hosting meetings between Robinson and Ernest Holmes, Dean of the Institute of Religious Science and Philosophy. Robinson's introductory remarks are also included.","Robinson, Frank B.",,1941-09-21,,multiple-page; lecture notes,Los Angeles; Ernest Holmes,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 10",MG101_b5_f10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/126,126,6.pdf,/psychiana/image/6.pdf,psychiana126,pdf,psychiana126.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana126.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana126_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana126_th.jpg,""
Flashes of Truth No. 5,"Radio program about Psychiana and Robinson's beliefs. Fifth transcript of six includes brief introduction of Robinson, then Robinson lectures for the remainder of the program on his belief that people do not have to die to obtain eternal life, as orthodox religions teach, but that God exists here with us on earth during our time on earth.",The Izzard Company,,1935,yes,multiple-page; transcripts,Criticizing Orthodox Reilgions; God on Earth; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 31",MG101_b5_f31_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/127,127,60.pdf,/psychiana/image/60.pdf,psychiana127,pdf,psychiana127.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana127.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana127_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana127_th.jpg,""
Flashes of Truth No. 6,"Radio program about Psychiana and Robinson's beliefs. Sixth transcript of six includes brief introduction of Robinson, then Robinson lectures for the remainder of the program on the traditional religious concept of the virgin birth, which Robinson maintains is impossible, even for Jesus Christ, because the Law God created for nature and the universe doesn't allow for such events.",The Izzard Company,,1935,yes,multiple-page; transcripts,God-Law; Criticizing Orthodox Reilgions; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 31",MG101_b5_f31_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/128,128,61.pdf,/psychiana/image/61.pdf,psychiana128,pdf,psychiana128.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana128.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana128_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana128_th.jpg,""
Psychiana Transcriptions,"A series of brief radio advertisements for Psychiana aired in 1937. Transcripts include 8 brief, similar advertisements for Psychiana and the free 6,000 word lesson entitled 'Psychiana,' which promises relief to listeners who are feeling overwhelmed by their everyday lives. Ads also notify listeners of times and dates when Robinson will speak on the radio.",The Izzard Company,,1937-09-28,,multiple-page; transcripts,"Psychiana Advertisements; Radio Transcripts, First Psychiana Lesson",,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 32",MG101_b5_f32_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/129,129,62.pdf,/psychiana/image/62.pdf,psychiana129,pdf,psychiana129.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana129.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana129_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana129_th.jpg,""
"Psychiana Peace, Happiness, and Abundance",Radio transcript on Psychiana teachings. Transcript introduces Frank B. Robinson and details the growth of Psychiana. Robinson reads a letter and testimonial from a Psychiana student. Introduction and testimonial relate to accessing the God-Power for personal success and happiness.,The Izzard Company,,1937-09-01,,multiple-page; transcripts,Testimonials; Radio Transcripts; God-Power,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 33",MG101_b5_f33_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/130,130,63.pdf,/psychiana/image/63.pdf,psychiana130,pdf,psychiana130.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana130.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana130_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana130_th.jpg,""
Psychiana No. 4 radio transcript,"Radio transcript No. 4, in a series of 1 - 6, uses Jesus Christ's words--'The things that I do shall ye do also'--to inform listeners they can obtain the secrets of Christ's power. Transcript also asserts listeners can fulfill their quest for 'Truth.' They can do all this by acquiring a free copy of Robinson's lecture entitled 'Psychiana.'","Robinson, Frank B.",,1927,yes,multiple-page; transcripts,Radio Advertising; Jesus Christ; God-Power,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 26",MG101_b5_f26_d,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/131,131,64.pdf,/psychiana/image/64.pdf,psychiana131,pdf,psychiana131.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana131.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana131_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana131_th.jpg,""
Psychiana Realization,"Radio transcript on Psychiana teachings. Transcript introduces Frank Robinson and details the growth of Psychiana followed by the reading of a letter from a Psychiana student. Letter expresses concern at the crossroads of failure and success, to which Robinson replies that the simple realization of this crossroads shows that this person is aware of how to achieve success and travel down that path.",The Izzard Company,,1937-09-02,,multiple-page; transcripts,multiple-page; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 33",MG101_b5_f33_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/132,132,65.pdf,/psychiana/image/65.pdf,psychiana132,pdf,psychiana132.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana132.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana132_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana132_th.jpg,""
Psychiana Cosmic Rays,"Radio transcript on Psychiana teachings. Transcript begins asserting man has long turned to the cosmos in search of answers and power, and that constellations and the comos operate according to the God-Law. Robinson then states he cannot take credit for this Law but it was revealed to him and people need to use it. He uses a letter from a woman in Michigan who is distraught about her marriage as an example of those who need the God-Law.",The Izzard Company,,1937-09-02,,multiple-page; transcripts,God-Law; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 33",MG101_b5_f33_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/133,133,66.pdf,/psychiana/image/66.pdf,psychiana133,pdf,psychiana133.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana133.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana133_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana133_th.jpg,""
Psychiana Answer to Letter No. 4,"Radio transcript on Psychiana teachings. Transcript begins with Robinson's response to the married woman who wrote a letter in the previous transcript,'Cosmic Rays.' Robinson asserts that 'cosmic rays' (often majestic rays scratched out in pencil and renamed cosmic) are a scientific fact no one can refute and asserts that two people should not disagree over facts. Transcript continues with more on cosmic power and another letter from a Psychiana student.",The Izzard Company,,1937-09-01,,multiple-page; transcripts,Cosmic Rays; Science and Technology; God-Power; Radio Transcripts,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 33",MG101_b5_f33_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/134,134,67.pdf,/psychiana/image/67.pdf,psychiana134,pdf,psychiana134.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana134.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana134_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana134_th.jpg,""
Psychiana No. 5 radio transcript,"Radio transcript No. 5, in a series of 1 - 6, refers to Robinson as 'one of the keenest psychological minds this country has ever produced' and refers to Christ as the 'Galilean Carpenter.' Transcript informs listeners they can use the same power Christ used by acquiring a free copy of Robinson's lecture entitled 'Psychiana.'","Robinson, Frank B.",,1927,yes,single-page; transcripts,Radio Advertising; Jesus Christ; God-Power,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 26",MG101_b5_f26_e,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/135,135,68.pdf,/psychiana/image/68.pdf,psychiana135,pdf,psychiana135.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana135.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana135_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana135_th.jpg,""
1937 National Convention Speech - Lecture 2,"Second lecture in a series of three delivered at the Masonic Temple in Portland, Oregon. Second speech begins by asking the question,'Can a Dying Church Be Saved?' Robinson asserts that things believed 400 years ago may not be true today, and goes on to discuss the loss of vitality and enthusiasm in current Christian and other religions.","Robinson, Frank B.",,1937-11-29,,multiple-page; speeches,Church in Decline; Christianity,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 34",MG101_b5_f34_b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/136,136,69.pdf,/psychiana/image/69.pdf,psychiana136,pdf,psychiana136.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana136.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana136_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana136_th.jpg,""
Address at Trinity Auditorium in Los Angles,"This appears to be a transcription of short-hand notes taken during a speech delivered on January 6, 1935. It is an original typescript, 16 pages in length. In his speech Robinson begins discussing the origin of the savior and where one can locate God.","Robinson, Frank B.",,1935-01-06,,multiple-page; lectures notes,Los Angeles; Lectures; Origin of God,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 12",MG101_b5_f12_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/137,137,7.pdf,/psychiana/image/7.pdf,psychiana137,pdf,psychiana137.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana137.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana137_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana137_th.jpg,""
1937 National Convention Speech - Lecture 3,"Third lecture in a series of three written in a dialogue, question and answer format. Robinson uses questions from audience members and others to offer fundamental teachings and guidance based on the doctrine of Psychiana.","Robinson, Frank B.",,1937-11-30,,multiple-page; speeches,Psychiana Criticism; Psychiana Teachings,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 34",MG101_b5_f34_c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/138,138,70.pdf,/psychiana/image/70.pdf,psychiana138,pdf,psychiana138.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana138.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana138_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana138_th.jpg,""
