objectid,title,title_alt,date,creator,description,subject,category,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb,notes
ng_011,δ15N Budget,δ15N Budget,,,"Contact: Donald Zak, University of Michigan
Email: drzak@umich.edu",,Dataset,B,2004,Periodic,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Pellston 15N Budget Summary_2004.xls,pellston_15n_budget_summary_2004.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/pellston_15n_budget_summary_2004.xls,,,
ng_012,Water Balance,Water Balance,,,"Michigan Gradient Study:  Water balance for the four study sites from 1988 through 2004.

Calculated using the Thornthwaite water balance method as described for these sites in MacDonald et al. 1992 and Pregitzer et al. 2004.
All precipitation and temperature data from 1994 to 2004 were recorded at the study sites, as were growing season data (March or April to mid-November) from October 1988 to 1993.
Precipitation and temperature data from the nearest NOAA station were used to predict values for the study sites when study site specific data was unavailable, using monthly relationships between our sites data and nearest NOAA station.",,Dataset,All,1988-2004,Monthly,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/WaterBalance1988-2004.xls,waterbalance1988-2004.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/waterbalance1988-2004.xls,,,
ng_013,Basal Area,Basal Area,,,"This file contains live basal area (m2 ha-1) and annual basal area new growth increment for living trees (m2 ha-1) for each of the six plots per study site.  Plots 1 through 3 are ambient controls (C).  Plots 4 through 6 receive simulated experimental N deposition of 3 g N m-2 y-1 (F). 

Annual stand new growth increment data were calculated from annual dbh measurements made for each live tree after the end of the growing season.

Reference: KURT S . PREGITZER, ANDREW J. BURTON, DONALD R. ZAK and ALAN F. TALHELM (2008).Simulated chronic nitrogen deposition increases carbon storage in Northern Temperate forests. Global Change Biology 14, 142–153

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1987-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/BasalArea1987-2016.xls,basalarea1987-2016.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/basalarea1987-2016.xls,,,
ng_014,δ15N Turnover,δ15N Turnover,,,"Data for determining percent recovery of a 15N tracer in the leaf litter and fine roots of northern hardwood plots receiving experimental NO3- additions.  This  includes: biomass, N concentration, and d15N values.  Leaf litter data are for sugar maple only. Fine root data are for all species.  Calculations used to determine percent recovery are also included.  A full account of the methods can be found in:

Pregitzer, K.S., D.R. Zak,  A.F. Talhelm, A.J. Burton, and J.R. Eikenberry.  2010.  Nitrogen turnover in the leaf litter and fine roots of sugar maple.  Ecology  91:3456-3462.

For additional information see the following publication:

Zak, D.R., W.E. Holmes, A.J. Burton, K.S. Pregitzer and A.F. Talhelm.  1991a.  Simulated atmospheric NO3- deposition increases soil organic matter by slowing decomposition. Ecological Applications 18:2016-2027.",,Dataset,B,1994-2008,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Pellston 15N Turnover_2008.xls,pellston_15n_turnover_2008.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/pellston_15n_turnover_2008.xls,,,
ng_015,"Ambient Plot Leaf Litter C, N, and δ15N","Ambient Plot Leaf Litter C, N, and δ15N",,,"The d15N, C concentration, and N concentration of sugar maple leaves collected from litter traps in the control plots (plots receiving only ambient deposition). Litter traps emptied approximately monthly during the spring and summer, biweekly during autumn. Litter trap samples sorted by species, bulked by year, and subsampled. Analyses conducted at Michigan Technological  University Forest Ecology Stable Isotope Lab. 

For more information about these data, see:
Talhelm AF, Pregitzer KS, Burton AJ, and Zak DR. 2011. Air pollution and the changing biogeochemistry of northern forests. Frontiers in Ecology and the Environment. DOI:10.1890/110007

For more information abou the litter traps and litter collections, see:
Pregitzer, K.S., A.J. Burton, D.R. Zak, and A.F. Talhelm.  2008.  Simulated chronic nitrogen deposition increases carbon storage in northern temperate forests.  Global Change Biology  14:142-153.

Burton, A.J., K.S. Pregitzer and D.D. Reed.  1991a.  Leaf area and foliar biomass relationships in northern hardwood forests located along an 800 km acid deposition gradient.  For. Sci.  37:1041-1059.

Contact: Alan Talhelm (atalhelm@uidaho.edu)",,Dataset,All,1988-2007,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Control Plot Leaf CN d15N.xls,control_plot_leaf_cn_d15n.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/control_plot_leaf_cn_d15n.xls,,,
ng_016,Leaf Litter δ13C and δ18O,Leaf Litter δ13C and δ18O,,,"The d13C and d18O of sugar maple leaves collected from litter traps . Litter traps emptied approximately monthly during the spring and summer, biweekly during autumn. Litter trap samples sorted by species, bulked by year, and subsampled. Analyses for d13C conducted at Michigan Technological  University Forest Ecology Stable Isotope Lab. Analyses for d18O conducted at the Washington State University Stable Isotope Core Lab. 

For more information about these data, see:
Talhelm AF, Pregitzer KS, and Burton AJ. 2011. No evidence that chronic nitrogen additions increase photosynthesis in mature sugar maple forests. Ecological Applications 21: 2413-2424.

For more information abou the litter traps and litter collections, see:
Pregitzer, K.S., A.J. Burton, D.R. Zak, and A.F. Talhelm.  2008.  Simulated chronic nitrogen deposition increases carbon storage in northern temperate forests.  Global Change Biology  14:142-153.

Burton, A.J., K.S. Pregitzer and D.D. Reed.  1991a.  Leaf area and foliar biomass relationships in northern hardwood forests located along an 800 km acid deposition gradient.  For. Sci.  37:1041-1059.

Contact: Alan Talhelm (atalhelm@uidaho.edu)",,Dataset,All,1988-2007,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Leaf Litter d13C d18O.xls,leaf_litter_d13c_d18o.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/leaf_litter_d13c_d18o.xls,,,
ng_017,"Canopy Tower Leaf Gas Exchange, Size, and Chemistry","Canopy Tower Leaf Gas Exchange, Size, and Chemistry",,,"Data: The gas exchange, d13C, C concentration, N concentration, d18O, leaf area, and leaf weight of sugar maple leaves sampled from canopy towers located at site B (one control tower, one treatment tower).  Gas exchange data include net photosynthesis, stomatal conductance, intercellular CO2 concentration,  as well as A-Ci curve estimates of photosynthetic biochemical parameters. 
Methods: At each time point, ten to twenty leaves were sampled from each tree, accessed by the canopy towers. Following gas exchange measurements, the leaves were removed from the tree, bulked by tree, and then frozen until analysis for leaf area.  Samples were then oven dried, weighed, and ground. Analyses for d13C, C, and N conducted at Michigan Technological  University Forest Ecology Stable Isotope Lab. Analyses for d18O conducted at the Washington State University Stable Isotope Core Lab. 

For more information about these data, see:
Talhelm AF, Pregitzer KS, and Burton AJ. 2011. No evidence that chronic nitrogen additions increase photosynthesis in mature sugar maple forests. Ecological Applications 21: 2413-2424.

Contact: Alan Talhelm (atalhelm@uidaho.edu)",,Dataset,B,2006-2007,Biweekly (Seasonal),"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Canopy Tower Leaf Size and Chemistry.xls,canopy_tower_leaf_size_and_chemistry.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/canopy_tower_leaf_size_and_chemistry.xls,,,
ng_018,"Excised Branch Leaf Gas Exchange, Size, and Chemistry","Excised Branch Leaf Gas Exchange, Size, and Chemistry",,,"Plot level data on d13C, C, N, d18O, leaf area, leaf weight , photosynthesis, conduction, and Ci of sugar maple leaves  excised from the canopy with a shotgun.  The number of branches sampled in each plot varied by date (4-6 in 2006, 10-12 in June 2007, 8-10 in August 2007).  After the photosynthesis measurements, each sample was frozen until  measured for leaf area, then oven dried, weighed, and ground. There are two sets of C&N data.  One set of these data derived from the IRMS analysis  of bulked samples. For the other set, leaves from each excised branch were analyzed and then averaged. The Michigan Technological  University Forest Ecology Stable Isotope Lab conducted the IRMS analyses for d13C, C, and N. Analyses for d18O conducted at the Washington State University Stable Isotope Core Lab.  CN analyses were conducted at the University of Nevada, Reno.

For more information about these data, see:
Talhelm AF, Pregitzer KS, and Burton AJ. 2011. No evidence that chronic nitrogen additions increase photosynthesis in mature sugar maple forests. Ecological Applications 21: 2413-2424.

Contact: Alan Talhelm (atalhelm@uidaho.edu)",,Dataset,All,2006-2007,Seasonal,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Canopy Leaf Gas Exchange and Chemistry.xls,canopy_leaf_gas_exchange_and_chemistry.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/canopy_leaf_gas_exchange_and_chemistry.xls,,,
ng_019,Leaf Litter S Ca Al Mg B K concentrations,Leaf Litter S Ca Al Mg B K concentrations,,,"Data: The Ca, Al, S, Mg, B, and K concentration in sugar maple leaves collected from litter traps .
Methods:  Litter traps emptied approximately monthly during the spring and summer, biweekly during autumn. Litter trap samples sorted by species, bulked by year, and subsampled. Each subsample was then oven-dried and ground prior to analysis. Analyses for Ca, Al, Mg, B, and K conducted at Cornell Nutrient Analysis Lab. Analyses for  S conducted at the University of Wisconsin Soil and Plant Analysis Lab.

For more information about these data, see:
Talhelm AF, Pregitzer KS, Burton AJ, and Zak DR. 2011. Air pollution and the changing biogeochemistry of northern forests. Frontiers in Ecology and the Environment. DOI:10.1890/110007

For more information about the litter traps and litter collections, see:
Pregitzer, K.S., A.J. Burton, D.R. Zak, and A.F. Talhelm.  2008.  Simulated chronic nitrogen deposition increases carbon storage in northern temperate forests.  Global Change Biology  14:142-153.

Burton, A.J., K.S. Pregitzer and D.D. Reed.  1991a.  Leaf area and foliar biomass relationships in northern hardwood forests located along an 800 km acid deposition gradient.  For. Sci.  37:1041-1059.

Contact: Alan Talhelm (atalhelm@uidaho.edu)",,Dataset,All,1987-2005,Annual (Periodic),"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Leaf Litter S Ca Al Mg B K.xls,leaf_litter_s_ca_al_mg_b_k.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/leaf_litter_s_ca_al_mg_b_k.xls,,,
ng_020,Sugar Maple Seedling Abundance,Sugar Maple Seedling Abundance,,,"The data in tab labelled ""Seedling Abundance"" gives the overall abundance (number of living seedlings per square meter) for each age class of sugar maple seedling.  Age 1 = year of germination, Age 2 = second summer following establishment, and Age 3 = seedlings from 3 years to 7 years of age.  These surveys took place at three different times; date 1 = May 2008, date 2 = August 2008, date 3 = May 2009. For the Treatment column,  0 = Ambient deposition, 1 = N addition . 

The tab labelled ""SeedLitterExp"" has data from the litter manipulation experiment over sugar maple seeds.  These seeds were placed in the field in the Fall of 2009, then in May and June of 2010 counts of establish seedlings took place.  The data was averaged by three replicate 0.5 meter square  subplots  established within the buffer area surrounding each larger experimental plot.  For ""Plots"" labelled 1-3, 221.75g litter was added; for ""plots"" labelled 4-6, 221.75g of litter was removed.  Seedling establishment was calculated to seedlings per squre meter.  

The data under the tab labelled ""TransplantSeedling Survival"" contains data on sugar maple seedling transplant survival.  48 sugar maple seedlings were planted in August of 2009 in each of the 6 experimental plots (288 total).  Survival was assessed in May 2010.      

For more information on these data, see: 
Patterson SL, Zak DR, Burton AJ, Talhelm AF, and Pregitzer KS. 2011. Simulated N deposition negatively impacts sugar maple regeneration in a northern hardwood ecosystem. Journal of Applied Ecology. DOI: 10.1111/j.1365-2664.2011.02090.x

Contacts: Sierra Patterson at sierralpatterson@fs.fed.us or Donald Zak at drzak@umich.edu",,Dataset,All,2008-2010,Seasonal,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/GradientSeedlingData_SPatterson.xls,gradientseedlingdata_spatterson.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradientseedlingdata_spatterson.xls,,,
ng_021,Soil Respiration,Soil Respiration,,,"Values are site averages per plot for each measurement date.   Treatment values of 0 indicate control plots and of 1 indicate an experimental nitrate deposition plot (3 g N/m2/y as NaNO3).

In 1994, soil respiration measurements with static chambers utilized two to three 25 cm x 25cm aluminum frames, located on the outer edge of each 30m x 30m plot.  Gas samples were taken at 15 minutes intervals for an hour and later analyzed for CO2 with a gas chromatograph to determine rates of soil respiration, based on regression relationships between time and CO2 concentration. 

From 1998 through 2005, soil respiration was measured at ten locations per plot using 10 cm diameter PVC collars inserted 1 cm into the forest floor with a PP Systems EGM-2 or EGM-3. 

From 2009 through 2013, soil respiration was measured at ten locations per plot using 10 cm diameter PVC collars inserted 1 cm into the forest floor with a LiCOR 8100.   

Soil temperature was measured with a handheld probe at a 5 cm depth at each measurement location.   

Soil moisture is that recorded at a 15 cm depth using gypsum soil moisture blocks, with data logged using an DataLoggers Incorporated Easylogger (824 or 924 series).  Sensors were read every thirty minutes with averages recorded every 3 hours.  Values reported are averages for the day leading up to measurement.  Moisture values were converted to matric potential using relationships calculated for each site and depth based on response curves developed by placing moisture blocks in intact soil cores from each site/depth in a pressure plate and recording values across matric potentials ranging from -0.01 to -1.5 MPa

Soil respiration methods and results through 2001 are described in Burton et al. 2004 (Global Change Biology 10:1080-1091).

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,"1994, 1998-2005, 2009-2013",Biweekly (Seasonal),"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/SoilRespGradient1994-2013.xls,soilrespgradient1994-2013.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/soilrespgradient1994-2013.xls,,,
