objectid,filename,title,creator,description,date,date_archival,date is approximate?,subject,location,latitude,longitude,digital collection,source,identifier,digital_source,format,format original,display_template,type,rights,rightsstatement,language,object_location,image_small,image_thumb,extract_full_text
shitamae013,mg387_03_013.pdf,Letter to Shihei (George) Shitamae from unknown writer,,Letter talking about the birthday of Ayako and the beginning of the Elementary and High School.,1942-11-17,11/17/1942,no,schools (institutions); celebrations,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_013,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_013.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_013_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_013_th.jpg,FALSE
shitamae014,mg387_03_014.pdf,Letter to Shihei (George) Shitamae from Yoshiko Shitamae [1],"Shitamae, Yoshiko","Letter to George Shihei Shitamae from his niece, Yoshiko, discussing Miyoko's departure for Philadelphia.",1944-02-25,2/25/1944,no,war relocation authority (WRA); family life; hearings (event); gifts (object genre); weather,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_014,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_014.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_014_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_014_th.jpg,FALSE
shitamae015,mg387_03_015.pdf,Letter to Shihei (George) Shitamae from Yoshiko Shitamae [2],"Shitamae, Yoshiko","Letter to Georg Shihei Shitamae from his niece, Yoshiko, expressing joy of hearing of his parol. The letter also mentions the activities of the family, including school and work.",1944-09-24,9/24/1944,no,occupations (livelihoods); family life; weather; parole,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_015,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_015.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_015_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_015_th.jpg,FALSE
shitamae016,mg387_03_016.pdf,Letter to Shihei (George) Shitamae from Ayako Fujii [1],"Fujii, Ayako","Letter from George Shihei Shitamae's great-niece, Ayako, describing the cold weather, school, and the activities of Ayako Fujii's parents.",1942-11-19,11/19/1942,no,weather; schools (institutions); activities (general context); gifts (object genre),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_016,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_016.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_016_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_016_th.jpg,FALSE
shitamae017,mg387_03_017.pdf,Letter to Shihei (George) Shitamae from Miyoko Shitamae [1],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, expressing the joy of hearing of his parol. The letter also describes Miyoko's life in Philadelphia and her experience training to be a nurse.",1944-09-11,9/11/1944,no,parole; occupations (livelihoods),"Philadelphia, Pennsylvania",39.9526,-75.1652,,George Shihei Shitamae papers,mg387_03_017,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_017.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_017_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_017_th.jpg,FALSE
shitamae018,mg387_03_018.pdf,Letter to Shihei (George) Shitamae [5],,Letter written in Japanese with a stamp stating it had been examined. It was sent to George Shihei Shitamae while he was detained at the Santa Fe Detention Center in New Mexico.,1943-05-24,5/24/1943,no,,,,,,George Shihei Shitamae papers,mg387_03_018,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_018.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_018_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_018_th.jpg,FALSE
shitamae019,mg387_03_019.pdf,Letter to Shihei (George) Shitamae [6],,Letter written in Japanese with a stamp stating it had been examined. It was sent to George Shihei Shitamae while he was detained at the Santa Fe Detention Center in New Mexico.,1943-06-11,6/11/1943,no,,,,,,George Shihei Shitamae papers,mg387_03_019,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_019.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_019_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_019_th.jpg,FALSE
shitamae020,mg387_03_020.pdf,Letter to Shihei (George) Shitamae [7],,Letter written in Japanese with a stamp stating it had been examined. It was sent to George Shihei Shitamae while he was detained at the Santa Fe Detention Center in New Mexico.,1943-06-24,6/24/1943,no,,,,,,George Shihei Shitamae papers,mg387_03_020,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_020.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_020_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_020_th.jpg,FALSE
shitamae021,mg387_03_021.pdf,Letter to Shihei (George) Shitamae from Fumiko Shitamae [1],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, to him describing the days leading up to the forced evacuation of Japanese from Seattle. Fumiko mentions activities around the curfew and the preparations for the forced removal to the ""retention"" center at the Puyallup Fair Grounds.",1942-04-02,4/2/1942,no,weather; curfew; restrictions; business (commercial function); relocation,"Seattle, Washington",47.6062,-122.3321,,George Shihei Shitamae papers,mg387_03_021,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_021.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_021_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_021_th.jpg,FALSE
shitamae022,mg387_03_022.pdf,Letter to Shihei (George) Shitamae from Fumiko Shitamae [2],"Shitamae, Fumiko","Letter to George Shihei Shitamae from his niece, Fumiko, accounting the news that ""aliens"" must move out of the Puget Sound area. The letter goes on to discuss some business matters.",1942-02-17,2/17/1942,no,relocation; hearings (event);  business (commercial function),"Seattle, Washington",47.6062,-122.3321,,George Shihei Shitamae papers,mg387_03_022,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_022.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_022_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_022_th.jpg,FALSE
shitamae023,mg387_03_023.jpg,Transcription of Letter to Shihei (George) Shitamae from Yukiko Fujii [1],"Fujii, Yukiko","Letter from George Shihei Shitamae's niece, Yukiko, discussing the forced relocation from Seattle to Camp Harmony in Puyallup, Washington, it includes preparations for businesses and selling of assets, as well as life at Puyallup.",1942-05-24,5/24/1942,no,relocation; detention centers,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_023,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_023.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_023_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_023_th.jpg,FALSE
shitamae024,mg387_03_024.jpg,Transcription of Letter to Shihei (George) Shitamae from Yukiko Fujii [2],"Fujii, Yukiko","Letter from George Shihei Shitamae's niece, Yukiko, informing him that her husband had arrived at Minidoka after being in Bismarck, North Dakota.",1942-06-09,6/9/1942,no,family life; weather,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_024,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_024.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_024_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_024_th.jpg,FALSE
shitamae025,mg387_03_025.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [1],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, updating him on the happenings at Camp Harmony. It discusses the conditions at teh relocation center; that they were told everyone at Camp Harmony would be sent to Tule Lake, California; the work that Miyoko was doing with the with the medical staff at the camp hospital; and, other activities of those at the camp.",1942-06-18,6/18/1942,no,travel; food;  weather; occupations (livelihoods); activities (general context),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_025,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_025.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_025_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_025_th.jpg,FALSE
shitamae026,mg387_03_026.jpg,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [1],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, discussing how the family heard he was playing baseball. Fumiko also talks about the sports played at Camp Harmony and other activities organized by the recreation committee.",1942-06-21,6/21/1942,no,activities (general context); entertainment,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_026,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_026.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_026_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_026_th.jpg,FALSE
shitamae027,mg387_03_027.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [1],"Shitamae, Yoshiko","The letter was written in two parts. The first part of the letter expresses how George Shihei Shitamae's niece, Yoshiko, wished he would be released from his internment camp and be reunited with the family. Yoshiko goes on to talk about the activities and classes she has begun taking. The second part of the letter discusses the weather, graduation ceremonies, news of their business and concern of their stored belongings. She also discusses the events of the Fourth of July.",1942-06-25,1942-06-25; 1942-07-10,no,activities (general context); entertainment,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_027,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_027.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_027_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_027_th.jpg,FALSE
shitamae028,mg387_03_028.pdf,Transcription of Letter to Shihei (George) Shitamae from Niroku Shitamae [1],"Shitamae, Niroku ""Frank""","Letter to George Shihei Shitamae from his brother, Niroku, discussing the hot weather and asking if it would be all right to write him in Japanese.",1942-07-05,7/5/1942,no,weather; correspondence,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_028,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_028.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_028_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_028_th.jpg,FALSE
shitamae029,mg387_03_029.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [2],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, praises the improvement of his English. It goes on to discuss their neighbor's return, a speech from someone on the difficulties of the Nisei, and some entertainment performed by ""some boys from D.""",1942-07-08,7/8/1942,no,weather; entertainment,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_029,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_029.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_029_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_029_th.jpg,FALSE
shitamae030,mg387_03_030.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [3],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, talks about how his last letter was heavily censored and they couldn't make out what he was saying. Fumiko goes on to discuss her work at the office where she filled out repatriation forms for those wishing to return to Japan. She goes on to update him on some financial matters and discusses sumo or judo tournament.",1942-08-04,8/4/1942,no,censorship; occupations (livelihoods)t; repatriation; banks; activities (general context); flowers (plant components),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_030,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_030.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_030_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_030_th.jpg,FALSE
shitamae031,mg387_03_031.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [2],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that they will be transferred to Idaho soon. It also mentions flowers growing in their garden, and a gift containing a nightgown, wooden slippers, stationary, and cookies that they are sending to him.",1942-08-06,8/6/1942,no,travel; flowers (plant components);  gifts (object genre),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_031,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_031.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_031_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_031_th.jpg,FALSE
shitamae032,mg387_03_032.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [2],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him that they wil be transfered to Eden, Idaho with better conditions and barracks, disucssing hot weather, talks about the censorship of his previous letters, tells him of the down time listening to niehgbors playing ukulele afterwork, Miyoko talks about their work in the hospital and how much they like it.",1942-08-17,8/17/1942,no,travel; censorship; weather; leisure; occupations (livelihoods),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_032,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_032.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_032_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_032_th.jpg,FALSE
