title,description,author,editors,date,subject,publisher,relation-is part of,source,contributing institution,resource identifier,rights,rightsstatement,type,format,language,date digital,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Directory of Idaho Wood Products Manufacturers 2004,This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in the State of Idaho.  It is our intent to list all wood products producers in the State that are interested in making their products and services available to potential customers.  Companies listed range from primary wood products manufacturers to specialized niche product producers.  Data published in this directory originated from several primary and secondary sources.,"Blengeri-Oyarce, Carla D.; Shook, Steven R.",,2004-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous 22,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; Idaho Forest Products Commission;,uifwre-m22,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/10,10,fwres10,pdf,fwres10.pdf,https://objects.lib.uidaho.edu/fwres/fwres10.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres10_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres10_th.jpg,
"Guidelines for Human Activity within the Range of Mountain Caribou, Southern Selkirk Mountains","The publication seeks to identify existing and potential conflicts between the range of mountain caribou in the Selkirk Range and human activities such as timber harvest, construction, and road, pipeline, and power line access.","Johnson, Donald R.; Miller, Donald R.; Peek, James M.",,1977-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 3,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-mp03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/11,11,fwres11,pdf,fwres11.pdf,https://objects.lib.uidaho.edu/fwres/fwres11.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres11_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres11_th.jpg,
"Twenty-First Annual Report January 1-December 31, 1969","The report gives a summary of the college's activity during the year including staff activity and projects conducted by forest management, range management, and wildlife and fisheries management.  It also contains an appendix listing Forest, Wildlife and Range Experiment Station Staff and sources of research funds and other support.  The cover of this report has a different font from previous issues.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1970-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - June, 1970 (Twenty-First)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; U.S. Department of Agriculture;",uifwre-ar21,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/12,12,fwres12,pdf,fwres12.pdf,https://objects.lib.uidaho.edu/fwres/fwres12.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres12_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres12_th.jpg,
Management by Court Decree,"The publication is a speech presented to a large group of students in the College of Forestry, Wildlife and Range Sciences at the University of Idaho on March 22, 1977.  It focuses on the key role of conflict management between people in the area of wildlife resource management.","Schroeder, William",,1977,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 4,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/13,13,fwres13,pdf,fwres13.pdf,https://objects.lib.uidaho.edu/fwres/fwres13.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres13_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres13_th.jpg,
The RARE II Process in Idaho: A Procedure for Evaluating Resource Tradeoffs,This report seeks to add to and point out deficiencies in the draft environmental impact statement released by the USDA Forest Service regarding a Roadless Area Review and Evaluation (RARE).,"McKetta, Charles W.; Hatch, Charles R.; Medema, E. Lee; Christophersen, Kjell A.",,1978-07-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 5,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-mp05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/14,14,fwres14,pdf,fwres14.pdf,https://objects.lib.uidaho.edu/fwres/fwres14.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres14_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres14_th.jpg,
Rangeland Resources of Idaho  A Basis for Development and Improvement,"The document provides a comprehensive description of Idaho range resources, including information about the physical and biological features of the state, land ownership and use, and identification of major problems of range use and land management.  It includes colored photographs.","Sharp, Lee. A.; Sanders, Kenneth D.",,1978-09-01,,Idaho Rangeland Committee,Miscellaneous Publication 8,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/15,15,fwres15,pdf,fwres15.pdf,https://objects.lib.uidaho.edu/fwres/fwres15.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres15_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres15_th.jpg,
A Guide to Idaho Interpretive and Environmental Education Facilities and Sites,"This guide was prepared to aid educators, youth leaders, and anyone interested to locate Idaho facilities that interpret natural and cultural surroundings.  Part I is a guide to interpretive areas and facilities and Part II is a brief description of several environmental education programs found in school systems throughout Idaho.","Spott, Diane M.; Fazio, James R.",,1979-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 7,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/16,16,fwres16,pdf,fwres16.pdf,https://objects.lib.uidaho.edu/fwres/fwres16.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres16_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres16_th.jpg,
Directory of Idaho Secondary Wood Manufacturers [March 1989],"A secondary wood products manufacturer receives partially processed raw material from primary mills and either further prepares, processes, or assembles the material into a customer or end-use product.  This publication lists most of the secondary wood products manufacturers in Idaho, their products, and their location.","Gorman, Thomas M.",,1989-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 14,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp14,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/17,17,fwres17,pdf,fwres17.pdf,https://objects.lib.uidaho.edu/fwres/fwres17.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres17_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres17_th.jpg,
"Location Quotients, Excess Employment and Economic Short Run Economic Base Multipliers for Idaho's Forest Products Industry","The bulletin analyzes three measures commonly used to evaluate the impact of management activities on timber-oriented opportunities: location quotients, excess employment, and short run economic base multipliers.","Schuster, Ervin G.; Hatch, Charles R.; Koss, William D.",,1975-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - March 1975 (No. 10),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/18,18,fwres18,pdf,fwres18.pdf,https://objects.lib.uidaho.edu/fwres/fwres18.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres18_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres18_th.jpg,
Directory of Idaho Wood Products Manufacturers [February 1992],"This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in Idaho.  The authors combine both primary and secondary wood products producers.  This document serves as a single source of information on Idaho's wood products producers.  There are two sections to this directory.  The first is an alphabetical listing of all of Idaho's wood products manufacturers.  The first section also contains summaries of each company's operation, giving background information on the size and type of each operation.  The second section of the directory categorizes these companies by the products they manufacture.","Gorman, Thomas M.; Gomben, Peter C.; Folk, Richard L.",,1992-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 17,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/19,19,fwres19,pdf,fwres19.pdf,https://objects.lib.uidaho.edu/fwres/fwres19.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres19_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres19_th.jpg,
A Guide to Seedling Selection [September 1992],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations.  The guide also provides insight into various tree grower issues including weeds and animal damage.  At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1992-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1992,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/20,20,fwres20,pdf,fwres20.pdf,https://objects.lib.uidaho.edu/fwres/fwres20.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres20_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres20_th.jpg,
A Guide to Seedling Selection [September 1996],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations.  The guide also provides insight into various tree grower issues including weeds and animal damage.  At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1996-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1996,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/21,21,fwres21,pdf,fwres21.pdf,https://objects.lib.uidaho.edu/fwres/fwres21.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres21_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres21_th.jpg,
A Guide to Seedling Selection [September 1997],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations.  The guide also provides insight into various tree grower issues including weeds and animal damage.  At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1997-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1997,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/22,22,fwres22,pdf,fwres22.pdf,https://objects.lib.uidaho.edu/fwres/fwres22.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres22_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres22_th.jpg,
