objectid,title,creator,date,archival_date,description,issue-volume,subject,location,idaho_county,source,identifier,filename,type,format_original,format,digital_collection,contributing_institution,language,rights,rightsstatement,cataloger,transcriber,display_template,object_location,image_small,image_thumb
foc_v01-n05,Clearwater Defender: News of the Big Wild Vol. 1 No. 5,Friends of the Clearwater,2002,2002,"8 pages, black and white print",Vol 1 No 5,forest management; forestry; land management; habitat; wildlife; logging; lynx (species); western red cedar (species),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana; Panhandle National Forest, Idaho; Palouse Prairie",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N05,foc_v01-n05.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n05.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n05_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n05_th.jpg
foc_v01-n06,Clearwater Defender: News of the Big Wild Vol. 1 No. 6,Friends of the Clearwater,2002,2002,"4 pages, black and white print",Vol 1 No 6,forest management; forestry; land management; habitat; wildlife; logging; wolverines (species),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N06,foc_v01-n06.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n06.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n06_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n06_th.jpg
foc_v01-n07,Clearwater Defender: News of the Big Wild Vol. 1 No. 7,Friends of the Clearwater,2003,2003,"6 pages, black and white print",Vol 1 No 7,forest management; forestry; land management; habitat; wildlife; logging; lynx (species); national forests,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho; Lewiston, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N07,foc_v01-n07.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n07.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n07_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n07_th.jpg
foc_v01-n08,Clearwater Defender: News of the Big Wild Vol. 1 No. 8,Friends of the Clearwater,2003,2003,"8 pages, black and white print",Vol 1 No 8,forest management; forestry; land management; habitat; wildlife; logging; fire (event),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N08,foc_v01-n08.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n08.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n08_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n08_th.jpg
foc_v02-n01,Clearwater Defender: News of the Big Wild Vol 2 No 1,Friends of the Clearwater,2004,2004,"8 pages, color print",Vol 2 No 1,forest management; forestry; land management; habitat; wildlife; logging; ursidae (family); bears; roads; fire (event); wolverine (species); mining,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho; Pullman, Washington; Frank Church River of No Return Wilderness, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V02N01,foc_v02-n01.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v02-n01.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v02-n01_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v02-n01_th.jpg
foc_v02-n02,Clearwater Defender: News of the Big Wild Vol. 2 No. 2,Friends of the Clearwater,2004,2004,"10 pages, black and white print",Vol 2 No 2,forest management; forestry; land management; habitat; wildlife; logging; wilderness; fire (event),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V02N02,foc_v02-n02.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v02-n02.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v02-n02_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v02-n02_th.jpg
foc_v03-n01,Clearwater Defender: News of the Big Wild Vol. 3 No. 1,Friends of the Clearwater,2005,2005,"8 pages, black and white print",Vol 3 No 1,forest management; forestry; land management; habitat; wildlife; logging; wolves; canis lupus (species); roads; American elk (species); cervus canadensis (species),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V03N01,foc_v03-n01.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v03-n01.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v03-n01_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v03-n01_th.jpg
foc_v03-n02,Clearwater Defender: News of the Big Wild Vol. 3 No. 2,Friends of the Clearwater,2005,2005,"14 pages, color print",Vol 3 No 2,forest management; forestry; land management; habitat; wildlife; logging; salamanders (animal); western red cedar (species); national forests,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V03N02,foc_v03-n02.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v03-n02.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v03-n02_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v03-n02_th.jpg
foc_v04-n01,Clearwater Defender: News of the Big Wild Vol. 4 No. 1,Friends of the Clearwater,2006,2006,"20 pages, color print",Vol 4 No 1,forest management; forestry; land management; habitat; wildlife; logging; trout; wolves; canis lupus (species); American elk (species); cervus canadensis (species); fire (event),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho; Frank Church River of No Return Wilderness, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V04N01,foc_v04-n01.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v04-n01.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v04-n01_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v04-n01_th.jpg
foc_v04-n02,Clearwater Defender: News of the Big Wild Vol. 4 No. 2,Friends of the Clearwater,2006,2006,"14 pages, color print",Vol 4 No 2,forest management; forestry; land management; habitat; wildlife; logging; runoff; salamanders (animal); salmon (fish); fire (event); arson,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho; Oregon",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V04N02,foc_v04-n02.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v04-n02.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v04-n02_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v04-n02_th.jpg
foc_v04-n03,Clearwater Defender: News of the Big Wild Vol. 4 No. 3,Friends of the Clearwater,2006,2006,"12 pages, color print",Vol 4 No 3,forest management; forestry; land management; habitat; wildlife; logging; salamanders (animal); hiking; earthworm (species),"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Moscow, Idaho; Coeur d'Alene, Idaho; Missoula, Montana; Panhandle National Forest, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V04N03,foc_v04-n03.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v04-n03.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v04-n03_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v04-n03_th.jpg
