title,objectid,parentid,description,creator,recipient,date,date-is-approximate,latitude,longitude,location,latitude-received,longitude-received,location-received,subject,digital collection,contributing institution,source,rights,format-original,type,format,language,identifier,filename,rightsstatement,display_template,object_location,image_small,image_thumb
Richard Dodson letter to Desmond Hall 1935-04-14,dodson0011,,"Handwritten letter from Richard Dodson to Desmond Hall (associate editor of Astounding Stories). Dodson gives Astounding Stories constructive criticism, using examples of stories he likes to give advice.","Dodson, Richard W.","Hall, Desmond",1935-04-14,,,,,,,,science fiction; magazines (periodicals); fanzines; publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-09-1935-04-14,dodson-09-1935-04-14.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1935-04-14.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1935-04-14_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1935-04-14_th.jpg
Julius Schwartz letter to Richard Dodson 1932-01-08,dodson0012,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz updates Dodson on ""The Time Traveller"" being published. He then speaks about the new issue of ""Wonder"" and about Williamson making the cover of ""Wonder"" and ""Astounding"". He also talks about the changes in Williamson's writing style, hoping for improvement.","Schwarz, Julius","Dodson, Richard W.",1932-01-08,,40.856426,-73.894919,"New York, New York",40.190948,-92.577904,"Kirksville, Missouri",science fiction; magazines (periodicals); newspapers; publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1932-01-08,dodson-09-1932-01-08.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1932-01-08.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1932-01-08_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1932-01-08_th.jpg
Edward Elmer Smith letter to Richard Dodson 1937-06-02,dodson0013,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith talks about his progress on ""Galactic Patrol"", saying that it is now complete and set to be published. Smith then discusses modern sci-fi and what he likes and dislikes about some recent stories he's read.","Smith, Edward Elmer","Dodson, Richard W.",1937-06-02,,42.249683,-84.414689,"Jackson, Michigan",,,,science fiction; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1937-06-02,dodson-04-1937-06-02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1937-06-02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1937-06-02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1937-06-02_th.jpg
Eric Temple Bell letter to Richard Dodson 1933-08-31,dodson0014,,Typewritten letter from Eric Temple Bell to Richard Dodson. Bell thanks Dodson for his compliments on his writing and talks about his ideas for the future of SF writing. He includes an autograph which has been blanked out in this copy.,"Bell, Eric Temple","Dodson, Richard W.",1933-08-31,,34.137737,-118.12558,"Pasadena, California",40. 190948,-92.577904,"Kirksville, Missouri",science fiction; high schools (institutions); magazines (periodicals); publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1933-08-31,dodson-09-1933-08-31.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1933-08-31.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1933-08-31_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1933-08-31_th.jpg
Henry Clark letter to Richard Dodson 1933-02-26,dodson0015,,"Typewritten letter from Henry Clark to Richard Dodson. Clark tells Dodson that he has sent a letter that he wants either destroyed or returned, then tells him that he will send blueprints soon. Clark then asks if Dodson has any news on Granville.","Clark, Henry","Dodson, Richard W.",1933-02-26,,39.759911,-104.9657,"Denver, Colorado",,,,letters (correspondence); members,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence,Text,application/pdf,eng,dodson-12-1933-02-26,dodson-12-1933-02-26.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-12-1933-02-26.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-12-1933-02-26_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-12-1933-02-26_th.jpg
Edward Elmer Smith letter to Richard Dodson 1931-09-15,dodson0016,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith talks about his ""Skylark"" and ""Spacehounds"" works along with an unnamed upcoming story. Smith then talks about his struggles when writing sci-fi.","Smith, Edward Elmer","Dodson, Richard W.",1931-09-15,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; publishing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-01-1931-09-15,dodson-01-1931-09-15.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-01-1931-09-15.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-01-1931-09-15_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-01-1931-09-15_th.jpg
Revenant (poem),dodson0017,,"Carbon copy of a typewritten manuscript poem signed by Clark Ashton Smith, enclosed in letter to Richard Dodson","Smith, Clark Ashton","Dodson, Richard W.",1933-10-04,,,,,,,,drawings (visual works); science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",document; illustration,Text,application/pdf,eng,dodson-10-revenant,dodson-10-revenant.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-revenant.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-revenant_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-revenant_th.jpg
Edward Elmer Smith letter to Richard Dodson 1933-07-02,dodson0018,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith answers questions about ""Triplanetary"" and ""Skylark"", considering switching who he sends stories to after some negative interactions with the head of ""Amazing Stories"". Smith invites Dodson to visit him over the summer.","Smith, Edward Elmer","Dodson, Richard W.",1933-07-02,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1933-07-02,dodson-04-1933-07-02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1933-07-02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1933-07-02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1933-07-02_th.jpg
Julius Schwartz letter to Richard Dodson 1931-05-09,dodson0019,,Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz gives Dodson clues to guess at who is behind certain pen names. Schwartz then talks about a few stories and tells him about the author Ed Earl Repp.,"Schwarz, Julius","Dodson, Richard W.",1931-05-09,,40.856426,-73.894919,"New York, New York",,,,authors; science fiction; publishing; chemistry; colleges (institutions),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-05-09,dodson-09-1931-05-09.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-05-09.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-05-09_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-05-09_th.jpg
Julius Schwartz letter to Richard Dodson 1931-04-24,dodson0020,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz writes Dodson to share thoughts on authors and stories, inviting Dodson to ask him for more information on authors.","Schwarz, Julius","Dodson, Richard W.",1931-04-24,,40.856426,-73.894919,"New York, New York",,,,publishing; subscription,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-04-24,dodson-09-1931-04-24.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-04-24.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-04-24_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-04-24_th.jpg
Clark Ashton Smith letter to Richard Dodson 1933-02-06,dodson0021,,"Typewritten letter from Clark Ashton Smith to Richard Dodson. Smith talks about a book he sent to Dodson as well as a few other stories, he then answers some more of Dodson's questions and talks about news of two publications being 'sunk'.","Smith, Clark Ashton","Dodson, Richard W.",1933-02-06,,38.895272,-121.075958,"Auburn, California",,,,science fiction; science (modern discipline); writing; supernatural,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-10-1933-02-06,dodson-10-1933-02-06.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1933-02-06.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1933-02-06_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1933-02-06_th.jpg
Verna Smith letter to Richard Richard Dodson undated [01],dodson0022,,Handwritten letter from Verna Smith to Richard Dodson. Smith describes her struggle with being busy and learning latin.,"Smith, Verna","Dodson, Richard W.",,,,,,,,,Latin (language); studying; swimming,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-05-vernasmith-undated1,dodson-05-vernasmith-undated1.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-05-vernasmith-undated1.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-05-vernasmith-undated1_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-05-vernasmith-undated1_th.jpg
Edward Elmer Smith letter to Richard Dodson 1932-02-08,dodson0023,,"Handwritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith answers questions that Dodson had about his writing.","Smith, Edward Elmer","Dodson, Richard W.",1932-02-08,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; chemistry,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1932-02-08,dodson-04-1932-02-08.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1932-02-08.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1932-02-08_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1932-02-08_th.jpg
Edward Elmer Smith letter to Richard Dodson 1937-07-25,dodson0024,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith talks about plans for Dodson and his new wife's upcoming visit.","Smith, Edward Elmer","Dodson, Richard W.",1937-07-05,,42.249683,-84.414689,"Jackson, Michigan",,,,marriage; travel; science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1937-07-25,dodson-04-1937-07-25.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1937-07-25.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1937-07-25_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1937-07-25_th.jpg
