objectid,filename,title,creator,date,archival date,description,subject,fire locations,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
tpa011,cda_tpa1924.pdf,Coeur d'Alene Timber Protective Association Nineteenth Annual Report,Coeur d'Alene Timber Protective Association,1924,1924,"The nineteenth annual report of the Coeur d'Alene Timber Protective Association includes the association president's report, a financial report, and a report from the Fire Warden which describes the acquisition of a new fire pump and his preference for the old lookout station as opposed to the modern one. The report also includes a state examiner's certificate confirming a successful audit, a table with descriptions of fires during the fire season, an inventory of firefighting equipment owned by the association, and a list of association members.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; watchtowers; pumps (machinery),Hatton Creek,"Coeur d'Alene, Idaho",47.6828119,-116.7823515,"Day - NW Collection, University of Idaho Library Special Collections and Archives",cda_tpa1924,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/cda_tpa1924.pdf,https://objects.lib.uidaho.edu/tpa/small/cda_tpa1924_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/cda_tpa1924_th.jpg
tpa012,pdo_pda1913.pdf,Pend d'Oreille Timber Protective Association Annual Report 1913,Pend d'Oreille Timber Protective Association,1913,1913,"The 1913 annual report of the Pend d'Oreille Timber Protective Association includes the Fire Committee's report, a financial report from the secretary, and a report from the Fire Warden describing his first year of operations as warden and detailing the fires during the season. There were 52 fires reported during the fire season.",annual reports; financial statements; associations; fires (events); fire prevention,"Laclede, Idaho","Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_pda1913,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_pda1913.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_pda1913_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_pda1913_th.jpg
tpa013,pdo_tpa1917.pdf,Pend d'Oreille Timber Protective Association Annual Report 1917,Pend d'Oreille Timber Protective Association,1917,1917,The 1917 annual report of the Pend d'Oreille Timber Protective Association includes a financial report from the secretary and a report from the Fire Warden describing the fire causes and the purchase of equipment and tools. The report also includes a table with descriptions of the 161 fires during the fire season.,annual reports; financial statements; associations; fires (events); fire prevention; trails (recreation areas); firefighting equipment,Smith Ranch; Grouse Creek; Priest River,"Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1917,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1917.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1917_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1917_th.jpg
tpa014,pdo_tpa1918.pdf,Pend d'Oreille Timber Protective Association Annual Report 1918,Pend d'Oreille Timber Protective Association,1918,1918,"The 1918 annual report of the Pend d'Oreille Timber Protective Association includes a brief report from the secretary-treasurer, a financial report, and a report from the Fire Warden describing the fires and timber loss during the season, along with the purchase of new equipment and the hiring of new firefighters. The report also includes a table with descriptions of the 99 fires during the fire season.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; firefighters,Pine Creek; Quartz Mountain; Whitetail Butte; Grouse Mountain; Pack River; Falls Creek,"Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1918,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1918.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1918_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1918_th.jpg
tpa015,pdo_tpa1920.pdf,Thirteenth Annual Report of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1920,1920,"The 1920 annual report of the Pend d'Oreille Timber Protective Association includes the association president's report, a financial report, the auditor's report confirming a successful audit, the secretary-treasurer's report, and a report from the newly hired Fire Warden describing the fires during the season and recommendations for new equipment and improvements. The report also includes comparative statistics related to fires and rainfall from 1908-1920 and a table with descriptions of the 62 fires during the fire season.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; watchtowers,"Priest River; Spirit Lake, Idaho; Soldier Creek; Indian Creek; Fry Creek; Trapper Creek","Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1920,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1920.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1920_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1920_th.jpg
tpa016,pdo_tpa1922.pdf,Fifteenth Annual Report of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1922,1922,"The 1922 annual report of the Pend d'Oreille Timber Protective Association includes the association president's report which highlights the success of the fire season and minimal losses, a financial report, the auditor's report confirming a successful audit, the secretary-treasurer's report, and a report from the Fire Warden describing the fires during the season, burning permits issues to settlers, and recommendations for new equipment. The report also includes comparative statistics related to fires and rainfall from 1908-1922 and a table with descriptions of the 130 fires during the fire season.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; watchtowers,"Big Creek; Spirit Lake, Idaho; Caribou Creek","Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1922,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1922.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1922_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1922_th.jpg
tpa017,pdo_tpa1924.pdf,Seventeenth Annual Report of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1924,1924,"The 1924 annual report of the Pend d'Oreille Timber Protective Association includes a financial report, the auditor's report confirming a successful audit, the secretary-treasurer's report, and a report from the Chief Fire Warden describing the fires during the 1924 fire season (described as one of the longest fire seasons on record), burning permits issues to settlers, and recommendations for new equipment. Additionally, there is a report from the Deputy State Fire Warden on the findings and data from the Blister Rust Control Investigation. The annual report also includes comparative statistics related to fires and rainfall from 1908-1924, a table with descriptions of the 176 fires during the fire season, and a summary of the national forest fire situation and reforestation policies.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; watchtowers,"Grouse Creek; Sadder Creek; Pine Creek; Edgemere, Idaho; Colburn, Idaho; Albany Falls","Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1924,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1924.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1924_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1924_th.jpg
tpa018,pdo_tpa1927-1928.pdf,Twentieth and Twenty-First Annual Reports of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1928,1927-1928,"The 1927-1928 biennial reports of the Pend d'Oreille Timber Protective Association include the association president's report, financial reports, auditor's certificates, the secretary-treasurer's report, and reports from the Chief Fire Warden on the 1927 and 1928 fire seasons. The Fire Warden describes 1928 as a fair season with 154 fires and 1927 as a favorable season with 106 fires. The biennial reports also include comparative statistics related to fires and rainfall from 1908-1928 and tables with descriptions of the fires during the 1927 and 1928 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; pumps (mechanical); trails (recreational),Lightning Creek; Pack River; Hellroaring Creek,"Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1927-1928,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1927-1928.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1927-1928_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1927-1928_th.jpg
tpa019,pdo_tpa1929-1930.pdf,Twenty-Second and Twenty-Third Annual Reports of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1930,1929-1930,"The 1929-1930 biennial reports of the Pend d'Oreille Timber Protective Association include financial reports, auditor's certificates, a report from the new Chief Fire Warden on the 1929-1930 fire seasons, the secretary-treasurer's report, and comparative statistics related to fires and rainfall from 1908-1930. The Fire Warden's report states that the 1929 fire season was ""the most expensive and hazardous this territory has ever known"" with 189 fires reported. The secretary-treasurer's report summarizes that many members withdrew from the association after bills were paid for the 1929 fire season and that in 1930, the area protected by the association was reduced from from 750,000 to 330,000 acres.",annual reports; financial statements; associations; fires (events); fire prevention; fire damage,"Pend d'Oreille National Forest; Pack River; Elmira, Idaho; Bonners Ferry, Idaho; Sweitzer Creek","Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1929-1930,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1929-1930.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1929-1930_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1929-1930_th.jpg
tpa020,pdo_tpa1931.pdf,Twenty-Fourth and Twenty-Fifth Annual Reports of the Pend d'Oreille Timber Protective Association,Pend d'Oreille Timber Protective Association,1932,1931-1932,"The 1931-1932 biennial reports of the Pend d'Oreille Timber Protective Association include financial reports, an auditor's certificate for 1931, the secretary-treasurer's report, a report from the Chief Fire Warden on operations during the 1931-1932 fire seasons, and comparative statistics related to fires and rainfall from 1908-1932. The Fire Warden's report highlights the dry weather and low humidity during the 1931 fire season in which there were 104 fires and notes the decrease in wages for wardens and temporary firefighters in 1931 and 1932.",annual reports; financial statements; associations; fires (events); fire prevention; firefighters,"Freeman Lake; Blanchard, Idaho","Sandpoint, Idaho",48.28046395,-116.5537756,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pdo_tpa1931,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pdo_tpa1931.pdf,https://objects.lib.uidaho.edu/tpa/small/pdo_tpa1931_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pdo_tpa1931_th.jpg
