objectid,title,creator,date,description,subject,image_alt_text,source,identifier,,type,format_original,format,finding_aid,digital_collection,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
wells011,Philosophy and reasoning notes (Vol I),"Wells, Richard B.",,"The inside cover and first seven pages of a yellow 8x5 inch spiral notebook, labeled ""Mental Physics and Critical Idealism - Vol. I Cognitive Reasoning Structure Analysis Notes."" The inside cover contains Wells' explanation of the notebook's purpose, and the following pages contain notes and definitions about philosophy, perception, Immanuel Kant, and Pure Reason.",philosophy; cognition; perception,Orange paper with handwritten notes in black ink about philosophy and reasoning.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-019p001-008,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-019p001-008.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-019p001-008.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-019p001-008_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-019p001-008_th.jpg
wells012,Judgment and cognition notes (Vol II),"Wells, Richard B.",,"Ten pages (pages 107 - 116) of a yellow 8 and 1/4 by 6 and 7/8 inch spiral notebook, labeled "" Mental Physics and Critical Idealism - vol. II."" The pages contain Wells' notes and comments on judgment, perception, and cognition, with reference to Kant.",philosophy; metaphysics; cognition; perception,Lined notebook paper with handwritten notes in blue ink about judgment and cognition.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-020p001-010,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-020p001-010.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-020p001-010.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-020p001-010_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-020p001-010_th.jpg
wells013,Philosophy and reasoning notes (Vol IV),"Wells, Richard B.",,"Six pages (pages 99 - 104) of yellow 8 and 1/4 by 6 and 7/8 inch spiral notebook, labeled "" Mental Physics: vol. IV"" and ""Practical Reason and Judgement Notes Kant's Critique of Judgement, Critique of Practical Reason, Resume of Critique of Judgment."" The pages contain Wells' notes and commentary about philosophy, reasoning, and cognition.",philosophy; cognition,Lined notebook paper with handwritten notes in various colored ink about philosophy and reasoning. ,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-022p001-006,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-022p001-006.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-022p001-006.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-022p001-006_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-022p001-006_th.jpg
wells014,Philosophy and reason notes (Vol V),"Wells, Richard B.",,"Eight pages (pages 23 - 30) of a blue 7 and 3/4 by 5 inch spiral notebook, labeled ""Mental Physics: vol. V: reflective judgment & practical reason."" The pages contain Wells' work on ""Conjunctio D,"" and notes on Practical Reason, and various ideas about perception, cognition, and philosophy.",philosophy; cognition; perception,Lined notebook paper with handwritten notes in black and purple ink about philosophy and reason.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-023p001-008,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-023p001-008.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-023p001-008.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-023p001-008_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-023p001-008_th.jpg
wells015,Mental physics notes (Vol VI purple notebook),"Wells, Richard B.",1999-05-05,"The first ten pages of a purple 7 and 3/4 by 5 inch spiral notebook, labeled ""Mental Physics Vol. VI."" The pages contain Wells' notes and thoughts on ""teleological judgment"" and related metaphysical concepts.",philosophy; metaphysics,Lined notebook paper with handwritten notes in black ink about mental physics.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-024p001-010,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-024p001-010.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-024p001-010.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-024p001-010_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-024p001-010_th.jpg
wells016,Mental physics notes (Vol VI yellow notebook),"Wells, Richard B.",2000,"The first ten pages of yellow 8 and 1/2 by 7 inch spiral notebook labeled ""Mental Physics vol. VI."" The pages contain notes on ""The Sensorimotor Idea,"" with Wells' commentary on the same.",philosophy; cognition; perception; senses,Lined notebook with handwritten notes in purple ink about mental physics.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-025p001-010,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-025p001-010.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-025p001-010.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-025p001-010_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-025p001-010_th.jpg
wells017,Mental physics notes (Vol I: Avalanche Networks),"Wells, Richard B.",,"Fourteen pages (pages 12 - 25) of a yellow 8 and 1/2 by 7 inch spiral notebook labeled ""The Mental Physics of Neural Network Theory. vol. I: Avalanche Networks, Richard B. Wells."" The pages contain Wells' notes on computer/machine modeling of reasoning processes and mental physics.",cognition; computer science,Lined notebook paper with handwritten notes in black ink about mental physics.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-032p001-014,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-032p001-014.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-032p001-014.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-032p001-014_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-032p001-014_th.jpg
wells018,Philosophy and reason notes (2012 Vol I),"Wells, Richard B.",2012,"The first ten pages of red 5 and 1/2 by 4 inch spiral notebook, labeled ""2012 Writing Notes Vol. I R.B. Wells."" These pages contain notes, questions, and citations that accompany Wells' writing work.",drafts (documents); philosophy; politics; history,Lined notebook paper with handwritten notes in blue ink about philosophy and reason.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-033p001-010,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-033p001-010.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-033p001-010.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-033p001-010_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-033p001-010_th.jpg
wells019,Definitions index cards (black box),"Wells, Richard B.",,"The first ten cards from a black plastic box of index cards. The cards contain definitions of various terms related to education, philosophy, and society.",index cards; education; philosophy; politics,Lined index card with handwritten word definitions in blue ink.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b2-042p001-010,,Text,index cards,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b2_042p001-010.pdf,https://objects.lib.uidaho.edu/wells/mg670_b2_042p001-010.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b2_042p001-010_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b2_042p001-010_th.jpg
wells020,Sensorimotor notes,"Wells, Richard B.",,"The first item from Folder 48. This item is a three-page handwritten document on ""the Data of the Senses."" This document contains Wells' commentary and notes on perception and the senses.",perception; senses; philosophy,Lined notebook paper with handwritten notes in black ink about sensorimotor ideas.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b2_f48-001p001-003,,Text,looseleaf notes,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b2_f48-001p001-003.pdf,https://objects.lib.uidaho.edu/wells/mg670_b2_f48-001p001-003.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b2_f48-001p001-003_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b2_f48-001p001-003_th.jpg
wells021,Handwritten draft chapters,"Wells, Richard B.",,"The second item from Folder 49. This item is a five-page series of handwritten notes on Immanuel Kant, titled ""Axioms of Intuition,"" and including Wells' logical proofs and commentary.",logic; philosophy; metaphysics,Paper with handwritten notes in various colored ink about philosophy.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b2_f49-002p001-005,,Text,looseleaf notes,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b2_f49-002p001-005.pdf,https://objects.lib.uidaho.edu/wells/mg670_b2_f49-002p001-005.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b2_f49-002p001-005_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b2_f49-002p001-005_th.jpg
wells022,Writing Notes & Synthesis I,"Wells, Richard B.",,"Item one from Folder 54. This item is a one-page handwritten document with notes on morals, motives, and Pure Reason (with reference to the work of Immanuel Kant).",philosophy; metaphysics,Paper with handwritten notes and diagrams in various colored ink about rational knowledge.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b2_f54-001p001,,Text,looseleaf notes,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b2_f54-001p001.pdf,https://objects.lib.uidaho.edu/wells/mg670_b2_f54-001p001.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b2_f54-001p001_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b2_f54-001p001_th.jpg
wells023,Writing Notes & Synthesis II,"Wells, Richard B.",,"Item two from Folder 54. This item is a one-page handwritten document on ""What is Proper Science?"" with notes, definitions, and commentary.",philosophy; metaphysics,Paper with handwritten notes in black ink about science and philosophy.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b2_f54-002p001,,Text,looseleaf notes,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b2_f54-002p001.pdf,https://objects.lib.uidaho.edu/wells/mg670_b2_f54-002p001.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b2_f54-002p001_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b2_f54-002p001_th.jpg
