title,authors,date,archival date,editors,subject,publisher,identifier,format original,format,filename,Source,type,findingaid,digital collection,language,rights,rightsstatement,full text,objectid,display_template,object_location,image_small,image_thumb
"Buddhist Peace Fellowship Newsletter, vol. 6, no. 2, April 1984","Marschak, Dorothy; Kolvig, Eric; Morita, Yuri",1984-04,April 1984,"McMahon, Patrick; Gradjansky, Peter",Buddhism; newsletters; compassion,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v06_n02,newsletter,application/pdf,turningwheel-v06_n02.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf011,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v06_n02.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v06_n02_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v06_n02_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 6, no. 3, July 1984",,1984-07,July 1984,"Imamura, Ryo; Macy, Joanna; Eppsteiner, Fred; Hoang, Jenny; Snyder, Gary; Parker, Catherine",Buddhism; newsletters; prisons (institutions),"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-summer1984,newsletter,application/pdf,turningwheel-summer1984.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf012,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-summer1984.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-summer1984_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-summer1984_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 6, no. 4, October 1984","Imamura, Ryo; Parker, Catherine; Friedman, Lenore; Hughes, James; Shippee, Paul; Aitken, Robert; Martin, Rafe",1984-10,October 1984,"Imamura, Ryo; Macy, Joanna; Eppsteiner, Fred; Snyder, Gary; Hoang, Jenny; Parker, Catherine",Buddhism; newsletters; jātakas,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-fall1984,newsletter,application/pdf,turningwheel-fall1984.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf013,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-fall1984.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-fall1984_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-fall1984_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 7, no. 1, Jan 1985","Aitken, Robert; Imamura, Ryo; Erickson, Arnold",1985-01,January 1985,,Buddhism; newsletters; peace; dharma,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-winter1985,newsletter,application/pdf,turningwheel-winter1985.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf014,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-winter1985.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-winter1985_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-winter1985_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 7, no. 2, 1985","Berthoff, Tom; Shippe, Paul; Eppsteiner, Fred; Hopkinson, Deborah",1985,1985,"Hoang, Jenny",Buddhism; newsletters; dalai lamas,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v07_n02,newsletter,application/pdf,turningwheel-v07_n02.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf015,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v07_n02.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v07_n02_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v07_n02_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 7, no. 3, 1985","Hanh, Thich Nhat; ",1985,1985,"Eppsteiner, Fred",Buddhism; newsletters; compassion,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-v07_n03,newsletter,application/pdf,turningwheel-v07_n03.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf016,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-v07_n03.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-v07_n03_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-v07_n03_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 8, no. 1-2, Spring 1986","Green, Paula; Perkins, Jim; Gorin, Joe; Thomson, Donna; Kotler, Arnold; Rose, Samuel P.; Klein, Ruth",1986,1986,"Eppsteiner, Fred; Fitzgerald, Therese; Kotler, Arnold; Kinney, Jay",Buddhism; newsletters; stupas; civil rights,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-spring1986,newsletter,application/pdf,turningwheel-spring1986.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf017,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-spring1986.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-spring1986_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-spring1986_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 8, no. 3, Summer 1986","Aitken, Robert; Kraft, Kenneth; Foster, Nelson; Klein, Ruth; Anderson, Bill; Shippee, Paul",1986,1986,"Klein, Ruth; Gorin, Joe; Baraz, Jamie; Meier, Barbara; Cooper, Andrew; Thomson, Donna; Tsuji, Kenryu",Buddhism; newsletters; nonviolence,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-summer1986,newsletter,application/pdf,turningwheel-summer1986.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf018,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-summer1986.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-summer1986_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-summer1986_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 8, no. 4, Autumn 1986","Macy, Joanna; Cooper, Andrew; Johnson, Wendy; Titmuss, Christopher; Klein, Ruth",1986,June 1905,"Kotler, Arnold; Cooper, Andrew; Eppsteiner, Fred; Foster, Nelson; Klein, Ruth; Thomson, Donna; Melkonian, Carole; Fitzgerald, Therese",Buddhism; newsletters; civil wars,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-fall1986,newsletter,application/pdf,turningwheel-fall1986.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf019,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-fall1986.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-fall1986_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-fall1986_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 9, no. 1, Winter 1987","Hanh, Thich Nhat; Feldman, Christina; Rodriguez, Denis; Coffey, Gloria; Thomas, Johnson; Kornfield, Jack; Klein, Ruth; O'Neill, Kenneth",1987,1987,"Kotler, Arnold; Cooper, Andrew; Foster, Nelson; Klein, Ruth; Thomson, Donna; Kinney, Jay; Melkonian, Carole",Buddhism; newsletters; compassion,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-winter1987,newsletter,application/pdf,turningwheel-winter1987.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf020,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-winter1987.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-winter1987_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-winter1987_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 9, no. 2-3, Fall 1987","Denney, Stephen; Avedon, John F.; Feldman, Norman; Sunim, Samu; Badiner, Allan; Santorelli, Saki; Peavey, Fran; Kaiser, Kim; Melkonian, Carole; Boucher, Sandy; Sam, Canyon; Klein, Ruth; Fitzgerald, Therese; Reed, Christopher; Stoltzfus, Helen; Sunim, Samu; Nagabodhi",1987,1987,"Kotler, Arnold; Melkonian, Carole; Fitzgerald, Therese",Buddhism; newsletters; world religions; freedom,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-fall1987,newsletter,application/pdf,turningwheel-fall1987.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf021,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-fall1987.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-fall1987_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-fall1987_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 10, no. 1-2, Spring 1988","Dalai Lama; Schneider, David; Peskind, Steve; Dass, Ram; Levine, Stephen; Sivaraksa, Sulak; Nash, Nancy; Thomas, Johnson; Denney, Stephen; Macy, Fran; Laity, Annabel; Meier, Barbara; Phillips, Michael; Knudsen-Hoffman, Gene",1988,1988,"Kotler, Arnold; Melkonian, Carole; Norwood, Sara; Levy, Gayle",Buddhism; newsletters; AIDS (medical syndrome); homosexuality; activists,"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-spring1988,newsletter,application/pdf,turningwheel-spring1988.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf022,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-spring1988.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-spring1988_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-spring1988_th.jpg
"Buddhist Peace Fellowship Newsletter, vol. 10, no. 3-4, Fall 1988","Roberts, Kim; Ginsburg, Tom; Clements, Alan; Klein, Harold; Ingram, Catherine; Thomas, Johnson; Side, Dominique; Badiner, Allan; Olson, Lane; Macy, Joanna; Tanahashi, Kazuald; Klinger, Lee; Hanh, Thich Nhat; Meier, Barbara; Boucher, Sandy; Pilchick, Terry; Sandell, Klas; Kontrul, Jamgon; Haggar, Judith Ashley",1988,1988,"Kotler, Arnold; Schneider, David; Berman, Layna; Burton, Norma",Buddhism; newsletters; Burmese (culture or style),"Buddhist Peace Fellowship (Berkeley, Calif.)",turningwheel-fall1988,newsletter,application/pdf,turningwheel-fall1988.pdf,"Buddhist Peace Fellowship collection, MG 505, University of Idaho Library Special Collections and Archives",Text,https://archiveswest.orbiscascade.org/ark:80444/xv766086,Buddhist Peace Fellowship digital collection,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,bpf023,pdf,https://objects.lib.uidaho.edu/bpf/turningwheel-fall1988.pdf,https://objects.lib.uidaho.edu/bpf/small/turningwheel-fall1988_sm.jpg,https://objects.lib.uidaho.edu/bpf/thumbs/turningwheel-fall1988_th.jpg
