objectid,filename,title,description,date,general manager,company name,1st stations,2nd stations,3rd stations,4th stations,idaho_county,subjects,digital_collection,source,finding_aid,language,identifier,rights,rightsstatement,format_original,type,format,display_template,object_location,image_small,image_thumb
cprr047,cprrtimetables030.pdf,"Camas Prairie Railroad Co. Employees' Time Table 30 Effective October 12, 1916 12:01 A. M. ""Pacific Time"".","Camas Prairie Railroad Co. Employees' Time Table 30 Effective October 12, 1916 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1916-10-12,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables030,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables030.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables030_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables030_th.jpg"
cprr048,cprrtimetables031.pdf,"Camas Prairie Railroad Co. Employees' Time Table 31 Effective July 8, 1917 12:01 A. M. ""Pacific Time"".","Camas Prairie Railroad Co. Employees' Time Table 31 Effective July 8, 1917 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1917-07-08,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables031,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables031.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables031_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables031_th.jpg"
cprr049,cprrtimetables032.pdf,"Camas Prairie Railroad Co. Employees' Time Table 32 Effective October 21, 1917 12:01 A. M. ""Pacific Time"".","Camas Prairie Railroad Co. Employees' Time Table 32 Effective October 21, 1917 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1917-10-21,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables032,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables032.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables032_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables032_th.jpg"
cprr050,cprrtimetables033.pdf,"Camas Prairie Railroad Co. Employees' Time Table 33 Effective March 24, 1918 12:01 A. M. ""Pacific Time"".","Camas Prairie Railroad Co. Employees' Time Table 33 Effective March 24, 1918 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1918-03-24,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables033,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables033.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables033_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables033_th.jpg"
cprr051,cprrtimetables034.pdf,"Camas Prairie Railroad Co. Employees' Time Table 34 Effective June 2, 1918 12:01 A. M. ""Pacific Time"".","Camas Prairie Railroad Co. Employees' Time Table 34 Effective June 2, 1918 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1918-06-02,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables034,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables034.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables034_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables034_th.jpg"
cprr052,cprrtimetables035.pdf,"Camas Prairie Railroad Co. Employees' Time Table 35 Effective July 14, 1918 12:01 A. M. ""Pacific Time"".","Camas Prairie Railroad Co. Employees' Time Table 35 Effective July 14, 1918 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1918-07-14,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables035,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables035.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables035_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables035_th.jpg"
cprr053,cprrtimetables036.pdf,"United States Railroad Administration W. G. McAdoo, Director General of Railroads Camas Prairie Railroad Employees' Time Table 36 Effective Sept. 22, 1918 12:01 A. M. ""Pacific Time"".","United States Railroad Administration W. G. McAdoo, Director General of Railroads Camas Prairie Railroad Employees' Time Table 36 Effective Sept. 22, 1918 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. F. N. Finch Manager. 2 pages.",1918-09-22,F. N. Finch,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables036,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables036.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables036_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables036_th.jpg"
cprr054,cprrtimetables037.pdf,"United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroads Employees' Time Table 37 Effective February 2, 1919 12:01 A. M. ""Pacific Time"".","United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroads Employees' Time Table 37 Effective February 2, 1919 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. R. E. Hanrahan Manager. 2 pages.",1919-02-02,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables037,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables037.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables037_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables037_th.jpg"
cprr055,cprrtimetables038.pdf,"United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroads Employees' Time Table 38 Effective April 20, 1919 12:01 A. M. ""Pacific Time"".","United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroads Employees' Time Table 38 Effective April 20, 1919 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. R. E. Hanrahan Manager. 2 pages.",1919-04-20,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables038,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables038.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables038_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables038_th.jpg"
cprr056,cprrtimetables039.pdf,"United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 39 Effective June 8, 1919 12:01 A. M. ""Pacific Time"".","United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 39 Effective June 8, 1919 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. R. E. Hanrahan Manager. 2 pages.",1919-06-08,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables039,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables039.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables039_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables039_th.jpg"
cprr057,cprrtimetables040.pdf,"United States Railroad Administration Walker X. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 40 Effective June 22, 1919 12:01 A. M. ""Pacific Time"".","United States Railroad Administration Walker X. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 40 Effective June 22, 1919 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. R. E. Hanrahan Manager. 2 pages.",1919-06-22,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables040,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables040.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables040_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables040_th.jpg"
cprr058,cprrtimetables041.pdf,"United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 41 Effective July 20, 1919 12:01 A. M. ""Pacific Time"".","United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 41 Effective July 20, 1919 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. R. E. Hanrahan Manager. 2 pages.",1919-07-20,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables041,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables041.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables041_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables041_th.jpg"
cprr059,cprrtimetables042.pdf,"United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 42 Effective August 31, 1919 12:01 A. M. ""Pacific Time"".","United States Railroad Administration Walker D. Hines, Director General of Railroads Camas Prairie Railroad Employees' Time Table 42 Effective August 31, 1919 12:01 A. M. ""Pacific Time"". For the Government and Information of Employees only, and not intended for the use of the public. The Company reserves the right to vary from this Time Table at pleasure. R. E. Hanrahan Manager. 2 pages.",1919-08-31,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Vollmer, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Joseph, Idaho; North Lapwai, Idaho; Gurney, Idaho; Lewiston, Idaho","Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,Idaho County; Lewis County; Nez Perce County; Idaho County,railroads; transportation timetables; freight,Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrtimetables042,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrtimetables042.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrtimetables042_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrtimetables042_th.jpg"
