title,description,authors,date,subject,publisher,identifier,rights,rightsstatement,document type,type,format,language,filename,cdm_url,cdmid,objectid,display_template,filename2,object_location,image_small,image_thumb,errors
Comparison of Methods to Detect Conifer Encroachment into Aspen Stands Using LandSat 7 ETM+ Satellite Imagery,"Thesis by Sarah Heide concerning Remote Sensing, Plant Communities, Monitoring and other subjects",Sarah Heide,2002,Remote Sensing; Plant Communities; Monitoring,University of Idaho,Heide_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/10,10,rangecoll10,pdf,rangecoll10.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll10.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll10_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll10_th.jpg,
Ability For Yellow Starthistle to Compete for Soil Resources and Produce Seedheads,"Thesis by Alan Bower concerning Invasive Plants, Plant Communities, Ecology and other subjects",Alan Bower,2003,Invasive Plants; Plant Communities; Ecology,University of Idaho,Bower_2003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/11,11,rangecoll11,pdf,rangecoll11.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll11.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll11_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll11_th.jpg,
Grazing by Cattle and Sheep Affect Yellow Starthistle on Idaho Rangelands,"Thesis by Elayne Hovde concerning Livestock, Grazing, Invasive Plants and other subjects",Elayne Hovde,2006,Livestock; Grazing; Invasive Plants,University of Idaho,Hovde_2006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/12,12,rangecoll12,pdf,rangecoll12.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll12.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll12_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll12_th.jpg,
Effects of Grazing Intensity on Vegetation Composition on Reclaimed Mine Lands,"Thesis by John Kouns concerning Grazing, Restoration and other subjects",John Kouns,2000,Grazing; Restoration,University of Idaho,Kouns_2000,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/13,13,rangecoll13,pdf,rangecoll13.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll13.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll13_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll13_th.jpg,
Implications of Climate Variability on Large Fires Across Spatiotemporal Scales in Sagebrush Steppe,"Thesis by Andrea Kuchy concerning Fire, Ecology, Plant Communities and other subjects",Andrea Kuchy,2008,Fire; Ecology; Plant Communities,University of Idaho,Kutchy_2008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/14,14,rangecoll14,pdf,rangecoll14.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll14.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll14_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll14_th.jpg,
Singleleaf Pinon and Utah Juniper Canopy Interception and Understory Characteristics in Central Nevada,"Thesis by Sam Lossing concerning Rangeland Management, Ecology and other subjects",Sam Lossing,2012,Rangeland Management; Ecology,University of Idaho,Lossing_2013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/15,15,rangecoll15,pdf,rangecoll15.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll15.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll15_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll15_th.jpg,
"Guidebook to the Seeds of Native and Non-Native Grasses, Forbs and Shrubs of the Great Basin","Field Guide by Scott Lambert concerning Plant Communities, Native Plants, Restoration and other subjects",Scott Lambert,2005,Plant Communities; Native Plants; Restoration,Bureau of Land Management,Lambert_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Field Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/16,16,rangecoll16,pdf,rangecoll16.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll16.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll16_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll16_th.jpg,
LiDAR Remote Sensing for Wildlife Habitat Characterization and Modeling: Incorporating Remotely Sensed Vegetation Structure into Current Assessment of Animal Distribution and Conservation,"Dissertation by Sabastian Martinuzzi concerning Remote Sensing, Wildlife and other subjects",Sabastian Martinuzzi,2011,Remote Sensing; Wildlife,University of Idaho,Martinuzzi_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/17,17,rangecoll17,pdf,rangecoll17.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll17.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll17_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll17_th.jpg,
"Ranch Level Economic Impacts of Western Juniper Enchroachment On Sagebrush Steppe Ecosystems in Owyhee County, Idaho",Thesis by Ashley McClain concerning Rangeland Management and other subjects,Ashley McClain,2013,Rangeland Management,University of Idaho,McClain_2013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/18,18,rangecoll18,pdf,rangecoll18.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll18.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll18_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll18_th.jpg,
Multi-scale Assessment of the Effect of Livestock Grazing on Remotely-Sensed Burn Severity Under Wildfire Conditions,"Thesis by Amber Morris concerning Remote Sensing, Grazing, Fire and other subjects",Amber Morris,2010,Remote Sensing; Grazing; Fire,University of Idaho,Morris_2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/19,19,rangecoll19,pdf,rangecoll19.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll19.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll19_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll19_th.jpg,
Quantifying Bidirectional Reluctance Factors for Delineating Shrub-Steppe Vegetation Types Across Scales from the Plant to the Landscape,"Dissertation by Javier Naupari concerning Remote Sensing, Ecology and other subjects",Javier Naupari,2011,Remote Sensing; Ecology,University of Idaho,Naupari_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/20,20,rangecoll20,pdf,rangecoll20.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll20.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll20_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll20_th.jpg,
Effects of Trampling and Fire on Lepidium Papilliferum and Slickspot Habitat,"Thesis by Shaniko Nichol-Driskill concerning Livestock, Native Plants, Fire and other subjects",Shaniko Nichol-Driskill,2011,Livestock; Native Plants; Fire,University of Idaho,Nichol-Driskill_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/21,21,rangecoll21,pdf,rangecoll21.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll21.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll21_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll21_th.jpg,
Predicting Utilization of Foothills and Mountain Rangelands By Cattle in Summer,"Dissertation by Tracy Brewer concerning Livestock, Rangeland Management, Grazing and other subjects",Tracy Brewer,2004,Livestock; Rangeland Management; Grazing,University of Idaho,Brewer_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/22,22,rangecoll22,pdf,rangecoll22.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll22.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll22_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll22_th.jpg,
The Response Of A Spotted Knapweed Dominated Community To Selective Defoliation At Different Phenologies,"Thesis by Daniel Patten concerning Grazing, Livestock, Invasive Plants and other subjects",Daniel Patten,2009,Grazing; Livestock; Invasive Plants,University of Idaho,Patten_2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/23,23,rangecoll23,pdf,rangecoll23.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll23.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll23_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll23_th.jpg,
The Use and Evaluation of Computer Technologies to Inform Children and Adults About Rangelands,"Thesis by Jennifer Peterson concerning Education, Teachers, Rangeland Management and other subjects",Jennifer Peterson,2005,Education; Teachers; Rangeland Management,University of Idaho,Peterson_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/24,24,rangecoll24,pdf,rangecoll24.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll24.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll24_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll24_th.jpg,
Effects of Perennial Plant Competition on the Invasibility of Canyon Grassland Communities by Centaurea solstitialis,"Thesis by Sandra Robins concerning Invasive Plants, Plant Communities, Ecology and other subjects",Sandra Robins,2001,Invasive Plants; Plant Communities; Ecology,University of Idaho,Robins_2001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/25,25,rangecoll25,pdf,rangecoll25.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll25.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll25_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll25_th.jpg,
The Efficacy of Aerial Photography Analysis for Determining Disturbances in Aquatic Ecosystems,"Thesis by Katherine Lanspery concerning Ecology, Remote Sensing and other subjects",Katherine Lanspery,2005,Ecology; Remote Sensing,University of Idaho,Lanspery_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/26,26,rangecoll26,pdf,rangecoll26.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll26.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll26_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll26_th.jpg,
Native Plants for Restoration and Revegetation Programs,"Thesis by Sara Robson concerning Plant Communities, Restoration, Native Plants and other subjects",Sara Robson,2005,Plant Communities; Restoration; Native Plants,University of Idaho,Robson_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/27,27,rangecoll27,pdf,rangecoll27.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll27.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll27_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll27_th.jpg,
Effects of Sheep Grazing on Vegetation Recovery After Wildfire in a Sagebrush Steppe Community and Revegetation of Annual Grasslands,"Thesis by Lovina Roselle concerning Grazing, Fire, Livestock and other subjects",Lovina Roselle,2007,Grazing; Fire; Livestock,University of Idaho,Roselle_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/28,28,rangecoll28,pdf,rangecoll28.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll28.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll28_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll28_th.jpg,
Fire Patterns Within A Successional Gradient of a Sagebrush Steppe/Juniper Woodland,"Thesis by Aaron Roth concerning Plant Communities, Fire, Ecology and other subjects",Aaron Roth,2004,Plant Communities; Fire; Ecology,University of Idaho,Roth_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/29,29,rangecoll29,pdf,rangecoll29.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll29.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll29_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll29_th.jpg,
