title,creator,date,description,aes_subjects,subject,publisher,contributing_departments,series,full_series_and_number,extent,identifier,format_original,type,format,rights,rightsstatement,language,oclc_number,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
The Role Of Rural Industry In Urban Places In Southeastern Idaho,"Robinson, Hank; Meyer, Neil; Hamilton, Joel; Coupal, Roger",1991-12-17,"The fortunes of Idaho agriculture are affected by decisions made in Boise and Washington D.C. Decisions involving water use, grazing on public lands, the use of pesticides and fertilizers, land set asides, transportation, general economic development policy, and others can profoundly impact Idaho agriculture.",Resource /Energy Economics and Policy; Teaching/Communication/Extension/Profession; Community/Rural/Urban Development; Research Methods/ Statistical Methods,agricultural economics; rural development; Impact analysis; water,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 91-09,9,aees91-09,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/10,10,aers011,pdf,aers011.pdf,https://objects.lib.uidaho.edu/aers/aers011.pdf,https://objects.lib.uidaho.edu/aers/small/aers011_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers011_th.jpg,
"Financing Services For Residential, Commercial, And Agricultural Parcels: The Cases Of Kootenai And Bonneville Counties","Leighton, Martha; Meyer, Neil",1999-12,"Governments must obtain revenues to pay for the services they provide. These revenues come from a variety of sources including property taxation, fines and forfeitures levied on local populations, charges for permits or consolidated services, and redistribution of intergovernmental funds.",Public Economics; Consumer/Household Economics; Community/Rural/Urban Development,tax; public finance; income distribution; regional economics,"Department of Agricultural Economics and Rural Sociology, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-19,46,aees99-19,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/11,11,aers012,pdf,aers012.pdf,https://objects.lib.uidaho.edu/aers/aers012.pdf,https://objects.lib.uidaho.edu/aers/small/aers012_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers012_th.jpg,
Fall 2001 Idaho Agricultural Outlook,"Gray, C. Wilson; Makus, Larry D.; Meyer, Neil L.; Patterson, Paul E.; Rimbey, Neil R.",2001-11,Idaho Edible Dry Bean Market Situation and Outlook for 2001-02,Research Methods/ Statistical Methods; Crop Production/Industries; Livestock Production/Industries; International Relations/Trade,Impact analysis; Includes individual crops/industries; Include individual industries including milk; trade,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 01-13,54,aees01-13,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/12,12,aers013,pdf,aers013.pdf,https://objects.lib.uidaho.edu/aers/aers013.pdf,https://objects.lib.uidaho.edu/aers/small/aers013_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers013_th.jpg,
"The Economics Of Natural, Free-Range Chicken Production In Idaho","Nelson, James R.; Smathers, Robert L.; Peterson, Steven",2003-08-11,"There seems to be a growing demand for 'natural' food products in Idaho, and elsewhere in the nation. Farmers markets and special 'natural' and organic food stores are prospering. Chain supermarkets are handling more and more 'natural' and organic items, and in some cases are opening special 'natural' and organic areas in their stores.",Livestock Production/Industries; Research Methods/ Statistical Methods; Community/Rural/Urban Development; Livestock Production/Industries,Include individual industries including milk; Impact analysis; regional economics; Include individual industries including milk,"College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-09,10,aees03-09,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/13,13,aers014,pdf,aers014.pdf,https://objects.lib.uidaho.edu/aers/aers014.pdf,https://objects.lib.uidaho.edu/aers/small/aers014_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers014_th.jpg,
Break-Even Analysis,"Prigge, G. Ray",1977,Break-Even Analysis Cost of Operating A 12-Foot Swather vs. Custom Hire,Farm Management; Industrial Organization; Agricultural Finance,production costs; cost structures; farm finance; farm income,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 328,8,aees328,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/14,14,aers015,pdf,aers015.pdf,https://objects.lib.uidaho.edu/aers/aers015.pdf,https://objects.lib.uidaho.edu/aers/small/aers015_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers015_th.jpg,
1998 Crop Input Costs Summary For Idaho,"Patterson, Paul E.; Smathers, Robert L.",1999-01,"The objective of this publication is to provide producers, lenders, agribusinesses and University of Idaho researchers and Extension personnel with information needed to develop or modify traditional or alternative cost of production estimates. This publication contains operating input costs used in the production of crops in Idaho.",Demand and Price Analysis; Risk and Uncertainty; Teaching/Communication/Extension/Profession,cost benefit; agricultural economics; supply and demand; Probability,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-03,17,aees99-03,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/15,15,aers016,pdf,aers016.pdf,https://objects.lib.uidaho.edu/aers/aers016.pdf,https://objects.lib.uidaho.edu/aers/small/aers016_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers016_th.jpg,
The 1996 One Percent Initiative Idaho Public School Override Levies Redistributed,"Cooke, Stephen",1996-10,What would happen to Idaho's public school funding if current local school money ($228 million) were returned to the school districts through the state funding formula? This is one of the questions facing the Idaho legislature from the 1996 One Percent Initiative if the state becomes responsible for all public school support. This study addresses that question.,Public Economics; Community/Rural/Urban Development; Demand and Price Analysis; Labor and Human Capital,schools; public finance; regional economics; elasticities; education,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 96-03,13,aers96-03,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/16,16,aers017,pdf,aers017.pdf,https://objects.lib.uidaho.edu/aers/aers017.pdf,https://objects.lib.uidaho.edu/aers/small/aers017_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers017_th.jpg,
Use Of A Computerized Feed Grain Analysis For Farm Business Management Extension Education,"Prigge, G. Ray",1978,A mail-in computerized analysis was used by farmers and others to evaluate the potential .additional returns (or losses) to be obtained by participating in the 1978 Wheat - Feed Program.,Demand and Price Analysis; Teaching/Communication/Extension/Profession,agricultural economics; cost benefit; supply and demand; teaching,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 363,1,aees363,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/17,17,aers018,pdf,aers018.pdf,https://objects.lib.uidaho.edu/aers/aers018.pdf,https://objects.lib.uidaho.edu/aers/small/aers018_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers018_th.jpg,
How Idaho Farmers View Agricultural And Food Policy Issues,"Meyer, Neil; Konn, Nancy",1984-10-31,"During May and June 1984, a sample of 1500 Idaho farmers/ranchers were mailed a questionnaire to find out their views on key agricultural and food policy issues that will be discussed and debated when Congress writes a new Agricultural and Food Act in 1985. This publication summarizes all the responses and divides them among farmers with different types of farming operations.",Farm Management; Agricultural and Food Policy; Agribusiness,decision-making; farm planning; Agricultural policy; food policy; agricultural industries,"Department of Agricultural Economics, Agricultural Experiment Station, Cooperative Extension Service, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 391,49,aees391,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/18,18,aers019,pdf,aers019.pdf,https://objects.lib.uidaho.edu/aers/aers019.pdf,https://objects.lib.uidaho.edu/aers/small/aers019_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers019_th.jpg,
P 4... Painting A Picture Of The Public Purse Idaho'S 19961% Initiative,"Meyer, N.; Cooke, Steve",1996-09,"When you want to explore the need for an educational program on a public decision important to your community or state, following the seven steps ensures program planning that will increase the likelihood of success.",Teaching/Communication/Extension/Profession,agricultural economics; teaching; writing; universities and colleges,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-09,42,aees96-09,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/19,19,aers020,pdf,aers020.pdf,https://objects.lib.uidaho.edu/aers/aers020.pdf,https://objects.lib.uidaho.edu/aers/small/aers020_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers020_th.jpg,
Measuring And Explaining The Decline In U.S. Cotton Productivity Growth,"Cooke, Stephen C.; Sundquist, W. Burt",1991-03,Tornquist input quantity indexes derived from USDA/SRS/FEDS survey data along with yield data are used to derive total and partial factor productivity measures across time and region for a sample of representative u.s. cotton enterprises.,Crop Production/Industries; International Relations/Trade; Productivity Analysis,Includes individual crops/industries; competition; agricultural productivity,,"Department of Agricultural Economics and Rural Sociology; Department of Agricultural and Applied Economics, University of Minnesota",Agricultural Economic Research Series,Agricultural Economic Research Series no. 91-01,26,aers91-01,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/20,20,aers021,pdf,aers021.pdf,https://objects.lib.uidaho.edu/aers/aers021.pdf,https://objects.lib.uidaho.edu/aers/small/aers021_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers021_th.jpg,
Can Profits From Potato Production Be Increased?,"Prigge, G. Ray",1976,Many Idaho potato producers are finding it increasingly difficult to obtain a satisfactory return from the production and sale of their potatoes.,Crop Production/Industries; Institutional and Behavioral Economics; Industrial Organization; Risk and Uncertainty,Includes individual crops/industries; benefit cost analysis; applied price theory; risk management,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 321,6,aees321,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/21,21,aers022,pdf,aers022.pdf,https://objects.lib.uidaho.edu/aers/aers022.pdf,https://objects.lib.uidaho.edu/aers/small/aers022_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers022_th.jpg,
Publications And Graduate Theses In Agricultural Economics And Rural Sociology,"Cole, Maxine",1996-01,Department of Agricultural Economics and Rural Sociology Current Faculty Members and Areas of Emphasis,Teaching/Communication/Extension/Profession; Labor and Human Capital,universities and colleges; education,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-02,24,aees96-02,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/22,22,aers023,pdf,aers023.pdf,https://objects.lib.uidaho.edu/aers/aers023.pdf,https://objects.lib.uidaho.edu/aers/small/aers023_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers023_th.jpg,
"A Survey Of Custer County Residents Concerning Community Issues, Facilities And Services: General Summary","Harp, Aaron J.",1998-05-28,This report briefly discusses the responses of Custer County residents to a telephone survey conducted during April 1998.,Community/Rural/Urban Development; Consumer/Household Economics,community development; regional development; household,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-05,24,aees98-05,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/23,23,aers024,pdf,aers024.pdf,https://objects.lib.uidaho.edu/aers/aers024.pdf,https://objects.lib.uidaho.edu/aers/small/aers024_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers024_th.jpg,
A To Z Retained Ownership Company 1996 Year-End Summary,University of Idaho Cooperative Extension System,1996,"The A to Z Retained Ownership Company was started in 1992 as a cooperative venture by cow-calf producers, the Bruneau Cattle Company feedlot, veterinarians, packers, bankers, allied industry representatives and University of Idaho Cooperative Extension System. The primary goal of this educational program was to give cow-calf producers information on how their cattle performed through the feeding and carcass phases. This report presents the results of the fourth year of the retained ownership program.",Demand and Price Analysis; Production Economics; Farm Management,cost benefit; supply and demand; general agricultural production; production costs; farm planning,University of Idaho Cooperative Extension System,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-08,16,aees96-08,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/24,24,aers025,pdf,aers025.pdf,https://objects.lib.uidaho.edu/aers/aers025.pdf,https://objects.lib.uidaho.edu/aers/small/aers025_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers025_th.jpg,
