title,description,creator,date,contributors,subject,keywords-theme,keywords-tree,location,region,project,publisher,digital collection,holding institution,source,identifier,doi,rightsstatement,rights,project material,type,format,language,date digital,digital specifications,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb
IFTNC - Technical Document Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1998-07,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1993. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, Technical Report, University of Idaho, Moscow, Idaho, 40p.",1993_Technical Document Report Part III Statistical Analysis DocumentationIFTNC.pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3338,3338,iftnc3338,pdf,iftnc3338.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3338.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3338_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3338_th.jpg
IFTNC - Technical Document Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1987-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1987. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, Technical Report, University of Idaho, Moscow, Idaho, 224p.","1987_IFTNC.1987.Technical Documentation Report.FWR, Univ. of Idaho, Moscow.pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3339,3339,iftnc3339,pdf,iftnc3339.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3339.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3339_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3339_th.jpg
IFTNC - Technical Document Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1989-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1989. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, Technical Report, University of Idaho, Moscow, Idaho, 227p.",1989. IFTNC Technical Meeting Documentation (Tech Doc89).pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3340,3340,iftnc3340,pdf,iftnc3340.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3340.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3340_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3340_th.jpg
IFTNC - Technical Document Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1990-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1990. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, Technical Report, University of Idaho, Moscow, Idaho, 177p.","1990_IFTNC. 1990. Technical Document Report. FWR, Univ. of Idaho, Moscow..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3341,3341,iftnc3341,pdf,iftnc3341.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3341.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3341_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3341_th.jpg
IFTNC - Technical Document Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1991-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1991. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, Technical Report, University of Idaho, Moscow, Idaho, 315p.","1991_IFTNC.1991. Technical Document Report. FWR, Univ. of Idaho, Moscow..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3342,3342,iftnc3342,pdf,iftnc3342.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3342.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3342_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3342_th.jpg
IFTNC - Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1981-04-01,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1981. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 1st Annual Report, University of Idaho, Moscow, Idaho, 69p.",1981_Moore_UI_Annual report 1981.pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3343,3343,iftnc3343,pdf,iftnc3343.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3343.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3343_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3343_th.jpg
IFTNC - 2nd Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1982-04-01,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1982. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 2nd Annual Report, University of Idaho, Moscow, Idaho, 54p.",1982_Moore IFTNC 2nd anul rpt.pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3344,3344,iftnc3344,pdf,iftnc3344.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3344.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3344_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3344_th.jpg
IFTNC - 3rd Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1983-04-01,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1983. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 3rd Annual Report, University of Idaho, Moscow, Idaho, 70p.",1983_Moore et al. Third Annual Report IFTNC.pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3345,3345,iftnc3345,pdf,iftnc3345.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3345.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3345_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3345_th.jpg
IFTNC - 4th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1984-04,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1984. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 4th Annual Report, University of Idaho, Moscow, Idaho, 26p.","1984_IntermountainForest Tree Nutrition Cooperative. 1984.Fourth Annual Report. FWR, Univ.of Idaho.26p..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3346,3346,iftnc3346,pdf,iftnc3346.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3346.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3346_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3346_th.jpg
IFTNC - A Workshop for Member Organizations,"In 1980, 1981 and 1982 the Intermountain Forest Tree Nutrition Cooperative (IFTNC) established large scale fertilization study trials to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir.  The purpose of this paper is to summarize the Douglas-fir study trial data results presented in the 1988 IFTNC workshop.",IFTNC,1988,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain forest tree nutrition cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Intermountain Forest Tree Nutrition Cooperative, Douglas-fir Forest Fertilization and Growth Response, A Workshop for Member Organizations, University Inn, Best Western, Moscow, Idaho, 143p.","1988_IFTNC. 1988. IFTNC; A Workshop for Member Organizations. FWR, Univ. of Idaho, Moscow.pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a pdf by IFTNC.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3347,3347,iftnc3347,pdf,iftnc3347.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3347.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3347_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3347_th.jpg
IFTNC - Supplemental Report No. 7:  Effects of Intermediate Silvicultural Treatments on the Distribution of Within Stand Growth,"The relative size-growth disaggregation function, was developed to distribute stand basal area growth to individual trees following thinning and fertilization treatments.  The RSG function is formulated as a quadriatic equation relating relative tree basal area growth to relative tree basal area.  The shape and curvature of RSG function are determined by initial mean tree size, stand density and structure. The effects of thinning on tree basal area distribution, including changes in location and/or scale, can be incorporated into the estimation of the RSG function parameters.","Zhang, Moore, & Newberry",1992,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Growth; Basal Area Distribution; Thinning; Fertilization,Forest Growth; Basal Area Distribution; Thinning; Fertilization,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"L. Zhang, et al. Intermountain Forest Tree Nutrition Cooperative - Supplemental Report No. 7:  Effects of Intermediate Silvicultural Treatments on the Distribution of Within Stand Growth, University of Idaho, Moscow, Idaho 36p.","1992_IFTNC.1992. Effects of Intermediate Silvicultural Treatments. Supp. Report No. 7 FWR, Univ. of Idaho.pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a pdf by IFTNC.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3348,3348,iftnc3348,pdf,iftnc3348.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3348.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3348_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3348_th.jpg
IFTNC - Supplemental Report No. 3: Thinning Slash Affects Foliar Nutrient Concentrations in Residual Douglas-fir Trees,"Mineral nutrition of forests is an important consideration for intensive forest management. The ability to recognize and ameliorate nutrient deficiencies is crucial to maintaining or enhancing site productivity. The product of stand management practices, such as thinning slash, can have substantial impacts on nutrient levels, distribution and cycling. The topic of this paper is to quantify the relationship between thinning slash amounts left on a site and post-thinning foliar nutrient status of the residual stand.",J. Moore and P. VanderPloeg,1991,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Nutrition; Thinning Slash,Forest Nutrition; Thinning Slash,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"J. Moore and J. VanderPloeg, Intermountain Forest Tree Nutrition Cooperative - IFTNC Supplemental Report No. 3: Thinning Slash Affects Foliar Nutrient Concentrations in Residual Douglas-fir Trees, University of Idaho, Moscow, Idaho 18p.","1991_IFTNC. 1991. Thinning slash affects foliar nutrient concentrations. FWR, Univ. of Idaho, Moscow..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a pdf by IFTNC.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3349,3349,iftnc3349,pdf,iftnc3349.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3349.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3349_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3349_th.jpg
