objectid,title,creator,recipient,date,archival_date,approximated_date,description,subject,location,idaho_county,address,latitude,longitude,source,identifier,format_original,type,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,list,filename,display_template,object_location,image_small,image_thumb
ictws_0011,Minutes of the Annual Business Meeting Idaho Chapter Wildlife Society,Idaho Chapter of the Wildlife Society,,1966-04-30,30 April 1966,,Summary of business meeting of the Idaho Chapter.,summaries; discussions; meetings,"Moscow, Idaho",Latah County,,46.73222587,-116.9990354,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-005,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-005.pdf,mg511_b01_f047-005.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-005.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-005_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-005_th.jpg
ictws_0012,Annual Summer Meeting: Business Meeting Minutes,,,1966-08-05,05 August 1966; 06 August 1966,,Summary of business meeting of the Idaho Chapter.,summaries; payments; summer programs; meetings,"Twin Falls, Idaho",Twin Falls County,,42.55651711,-114.4763163,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-006,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-006.pdf,mg511_b01_f047-006.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-006.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-006_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-006_th.jpg
ictws_0013,Financial Statement 1966-67 Biennial Period,Idaho Chapter of the Wildlife Society,,,undated,,Financial record of Idaho Chapter Wildlife Society from 1966 to 1967 (approximately).,records; payments; financial records,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-007,record,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-007.pdf,mg511_b01_f047-007.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-007.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-007_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-007_th.jpg
ictws_0014,"Minutes, Annual Business Meeting",Idaho Chapter of the Wildlife Society,,1967-04-07,07 April 1967,,Summary of business meeting of the Idaho Chapter. Financial record of Idaho Chapter Wildlife Society from 1966 to 1967 (approximately).,summaries; financial records; letters (correspondence); meetings,"Moscow, Idaho",Latah County,,46.73222587,-116.9990354,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-008,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-008.pdf,mg511_b01_f047-008.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-008.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-008_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-008_th.jpg
ictws_0015,Minutes of Idaho Chapter of the Wildlife Society's Annual Winter Meeting,Idaho Chapter of the Wildlife Society,,1968-04-09,09 April 1968,,Summary of the Idaho Chapter Wildlife Society's annual winter meeting.,summaries; discussions; meetings,"Boise, Idaho",Ada County,Officer's Club at Gowen Field,43.55865215,-116.2346187,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-009,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-009.pdf,mg511_b01_f047-009.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-009.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-009_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-009_th.jpg
ictws_0016,Financial Statement,"Idaho Chapter of the Wildlife Society; Bayha, Keith",,1968-04-08,08 April 1968,,Financial record and comments of the Idaho Chapter of the Wildlife Society.,financial records; comments; notes (documents),,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-010,record,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-010.pdf,mg511_b01_f047-010.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-010.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-010_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-010_th.jpg
ictws_0017,Minutes of Idaho Chapter of the Wildlife Society Summer Meeting,"Idaho Chapter of the Wildlife Society; Bayha, Keith",,1968-07-16,16 July 1968,,Summary of the Idaho Chapter Wildlife Society's summer meeting.,summaries; discussions; meetings,"Challis, Idaho",Custer County,Challis National Forest headquarters,44.52395094,-114.2182637,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-011,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-011.pdf,mg511_b01_f047-011.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-011.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-011_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-011_th.jpg
ictws_0018,Annual Report To Executive Director,Idaho Chapter of the Wildlife Society,,1969,1969,,"Annual report summary of the following: meetings, activities, financial statement, expenses, income, memberships.",summaries; discussions; meetings; financial records; payments,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-012,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-012.pdf,mg511_b01_f047-012.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-012.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-012_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-012_th.jpg
ictws_0019,Minutes of Idaho Chapter of the Wildlife Society Summer Meeting,"Idaho Chapter of the Wildlife Society; Bayha, Keith",,1969-07-08,08 July 1969,,Summary of the Idaho Chapter of the Wildlife Society's summer meeting.,summaries; discussions; meetings,"Boise, Idaho",Ada County,Idaho Fish and Game Conference Room,43.60213022,-116.1857568,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-013,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-013.pdf,mg511_b01_f047-013.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-013.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-013_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-013_th.jpg
ictws_0020,Minutes of Idaho Chapter of the Wildlife Society Winter Meeting,"Idaho Chapter of the Wildlife Society; Bayha, Keith",,1969-01-25,25 January 1969,,Summary of the Idaho Chapter of the Wildlife Society's winter meeting.,summaries; discussions; meetings,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-014,summary,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-014.pdf,mg511_b01_f047-014.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-014.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-014_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-014_th.jpg
ictws_0021,Financial Statement,Idaho Chapter of the Wildlife Society,,1969-01-24,24 January 1969,,Financial record of Idaho Chapter Wildlife Society from 1969.,financial records; payments; items,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-015,record,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-015.pdf,mg511_b01_f047-015.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-015.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-015_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-015_th.jpg
ictws_0022,A Proposal that the Idaho Chapter Assist in Preparing Valuable Information for Publication Which Would Not Otherwise Be Published; Member Committee Report,"Idaho Chapter of the Wildlife Society; Bayha, Keith",,1969-01-25,25 January 1969,,A proposal for assisting in publishing information. A membership committee report.,summaries; records; publications; reports,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-016,proposal,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-016.pdf,mg511_b01_f047-016.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-016.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-016_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-016_th.jpg
ictws_0023,Impact of the Wild and Scenic Rivers Act on Idaho,Idaho Chapter of the Wildlife Society,,1969-01-25,25 January 1969,,List of panel discussion paper titles and their presenters.,records; meetings; panels; presentations; legislation,"Boise, Idaho",Ada County,,43.6170945,-116.2098855,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-017,list,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b01_f047-017.pdf,mg511_b01_f047-017.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-017.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-017_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-017_th.jpg
