objectid,title,creator,date,archival_date,description,image_alt_text,subject,location,series,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename_original,filename,display_template,object_location,image_small,image_thumb
engrir011,2024 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,2024,2024,Booklet with programming and project information for the 2024 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with text blocks and a photograph of a colorful object.,engineering; exhibitions (events); booklets; programs (documents),"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2024,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2024 EXPO Capstone Booklet.pdf,expobooklet2024.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expobooklet2024.pdf,https://objects.lib.uidaho.edu/engrir/small/expobooklet2024_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expobooklet2024_th.jpg
engrir012,2025 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,2025,2025,Booklet with programming and project information for the 2025 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with text blocks and a photograph of two people interacting with an engineering project.,engineering; exhibitions (events); booklets; programs (documents),"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2025,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2025 EXPO Capstone Booklet.pdf,expobooklet2025.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expobooklet2025.pdf,https://objects.lib.uidaho.edu/engrir/small/expobooklet2025_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expobooklet2025_th.jpg
engrir013,Wearable Orthoses for Stroke and Multiple Sclerosis,Stu Sater; Katie Farris; Jorge Gonzalez; Abhizhek Rathod; Zhihui Wang; Lucas Sass; Jacob Brower; Robert Carne; Melissa Bogert,2020,2020,"2020 Engineering Design EXPO poster entitled ""Wearable Orthoses for Stroke and Multiple Sclerosis,"" created by participants in the course ME 404/504 Tech, Elective: Assistive Technologies for Physical Impairment. University of Idaho College of Engineering, Department of Mechanical Engineering.",Digital poster with text and images of devices to support human arms and legs.,orthoses; mechanical engineering; illness; instructional posters; engineering,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-001,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,ME404-poster-Wearable Orthoses for Stroke and Multiple Sclerosis_Combined2.jpg,expo2020-001.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-001.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-001_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-001_th.jpg
engrir014,Bio-Feedstock Addition to the BP Cherry Point Refinery,Clay Allred; Addyson Barnes; Sahara Waymire; Louise Nicole Yu,2020,2020,"2020 Engineering Design EXPO poster entitled ""Bio-Feedstock Addition to the BP Cherry Point Refinery,"" created by Clay Allred, Addyson Barnes, Sahara Waymire, Louise Nicole Yu. In the 2020 Program Guide, project is entitled ""BP Renewable Diesel Feedstock Analysis."" University of Idaho College of Engineering, Department of Chemical and Biological Engineering.",Digital poster with text blocks and images of an engineering schematic depicting an oil refinery process.,refineries; chemical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-002,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-10-BP Renewable Diesel Poster.jpg,expo2020-002.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-002.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-002_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-002_th.jpg
engrir015,Carbon Dioxide Capture with Borohydrides,Mason Anderson; Jesse Brown; Kaed Benski; Ahmed Alasiri,2020,2020,"2020 Engineering Design EXPO poster entitled ""Carbon Dioxide Capture with Borohydrides,"" created by Mason Anderson, Jesse Brown, Kaed Benski, Ahmed Alasiri. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.",Digital poster with text blocks and images of a tube-shaped device for separating gases and engineering schematics for the device.,chemical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-003,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-11-CO2 Capture with Borohydrides Poster.jpg,expo2020-003.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-003.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-003_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-003_th.jpg
engrir016,Metal Removal from Mine Water Using Algae: Phycoremediation,Lucas Arnold; Kymberly Bowlby; John Fetzer; Simon Thomsen,2020,2020,"2020 Engineering Design EXPO poster entitled ""Metal Removal from Mine Water Using Algae: Phycoremediation,"" created by Lucas Arnold, Kymberly Bowlby, John Fetzer, Simon Thomsen. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.",Digital poster with text blocks against a green background and a photograph of glass beakers containing fluids of different shades of green.,chemical engineering; mining; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-004,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-12-Metal Removal Algae Poster.jpg,expo2020-004.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-004.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-004_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-004_th.jpg
engrir017,Prototype Chamber for Evaluating Three-Dimensional Intestinal Uptake,Melissa Marsing; Jackie Martinez; Saud Almeshari; Faisal Ageeli; Courtney Molvig,2020,2020,"2020 Engineering Design EXPO poster entitled ""Prototype Chamber for Evaluating Three-Dimensional Intestinal Uptake,"" created by Melissa Marsing, Jackie Martinez, Saud Almeshari, Faisal Ageeli, Courtney Molvig. In the 2020 Program Guide, project is entitled ""Design for Accurate Measurement of Intestinal Transport."" University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, a photograph of a fish, and an engineering schematic for a cuboid device.",chemical engineering; engineering; intestines; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-005,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-13-Intestinal Transport Poster.jpg,expo2020-005.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-005.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-005_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-005_th.jpg
engrir018,Reimagining Gold Extraction,Erik Nelson; Kyle Rigg; Sam Smith; Amber McLenna,2020,2020,"2020 Engineering Design EXPO poster entitled ""Reimagining Gold Extraction,"" created by Erik Nelson, Kyle Rigg, Sam Smith, Amber McLenna. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, a complex schematic for an engineering project, and graphs depicting gold extraction results.",chemical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-006,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-14-Gold Metal Extraction Poster.jpg,expo2020-006.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-006.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-006_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-006_th.jpg
engrir019,Process Improvement of Industrial Heat Treatment of Ammunition Cases,Adrien Malinowski; Bryan Hayden; Connor McDonnell; Aspen White,2020,2020,"2020 Engineering Design EXPO poster entitled ""Process Improvement of Industrial Heat Treatment of Ammunition Cases,"" created by Adrien Malinowski, Bryan Hayden, Connor McDonnell, Aspen White. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, images of metallic ammunition cases, a schematic depicting the process of ammunition case manufacturing, and a graph indicating change over time in the price of ammunition manufacturing.",chemical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-007,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-15-CCI Heat Treatment Poster.jpg,expo2020-007.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-007.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-007_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-007_th.jpg
engrir020,Design and Construction of a Clinostat to Simulate Microgravity,Hassan Alghaith; Alathea Davies; Pierce Franklin; Daryl Giglio,2020,2020,"2020 Engineering Design EXPO poster entitled ""Design and Construction of a Clinostat to Simulate Microgravity,"" created by Hassan Alghaith, Alathea Davies, Pierce Franklin, Daryl Giglio. In the 2020 Program Guide, project is entitled ""Microgravity Simulation Device."" University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, engineering schematics, and photographs of a metallic cuboid device.",chemical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-008,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,team-16-Clinostat Microgravity Poster.jpg,expo2020-008.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-008.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-008_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-008_th.jpg
engrir021,Apollo Mini Slide Scanner,Michael Camerino; Jeff Crawford; Archana Dahal; Isaac Riggs; Nicholas Yensen,2020,2020,"2020 Engineering Design EXPO poster entitled ""Apollo Mini Slide Scanner,"" created by Michael Camerino, Jeff Crawford, Archana Dahal, Isaac Riggs, Nicholas Yensen. In the 2020 Program Guide, project is entitled ""Pocket Microscope Slide Scanner."" University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, images of laboratory sample slides, and an engineering schematic of a transparent box with various devices that fit inside of it.",biological engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-009,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_3sByi6R6CSUAa4V_EXPO Poster Apollo FINAL.jpg,expo2020-009.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-009.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-009_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-009_th.jpg
engrir022,Algae Harvester and Dehydrator,Nicole Maas; Josh Nisson; Stefanie Marikis; Ryan Walters; Chance Scriptor,2020,2020,"2020 Engineering Design EXPO poster entitled ""Algae Harvester and Dehydrator,"" created by Nicole Maas, Josh Nisson, Stefanie Marikis, Ryan Walters, Chance Scriptor. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.",Digital poster with text blocks on a green background and images of a conveyor belt device and a metal drum.,biological engineering; engineering; instructional posters; Algae (group),"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2020-010,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_116M1LORVI14smO_Slide1.jpg,expo2020-010.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2020-010.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2020-010_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2020-010_th.jpg
