objectid,title,creator,date,document_type,description,subject,uief_unit,location,latitude,longitude,section,township,range,stand_number,publisher,department,source,catalog_link,call_number,identifier,rights,rightsstatement,type,format,language,notes,filename,display_template,object_location,image_small,image_thumb
uief_0013,"Effect of Slash, Machine Passes, and Moisture Content on Penetration Resistance in a Cut-to-Length Harvesting","Han, Han-Sup; Page-Dumroese, Debbie; Han, Sang-Kyun; Tirocke, Joanne",2006,Research,"Multiple entries into forest stands are often needed for fire hazard reduction and ecosystem restoration treatments in the Inland-Northwest U.S.A. region. However, soil compaction occurring from mechanized harvesting operations often remains for many years and may contribute to a decline in long-term site productivity. A controlled experiment on a silt loam soil was conducted to determine (a) the effectiveness of logging slash to buffer compaction, (b) the influence of the number of machine passes, and (c) the contribution of soil moisture to changes in penetration resistance during a cut-to-length harvest in northern Idaho. Penetration resistance was measured at three soil depths (10, 20, and 30 cm) for three different moisture contents (low, medium, and high) and slash amounts (none, light, and heavy) after each of 12 machine passes (one pass each with a harvester and an empty forwarder, and 10 passes with a fully-loaded forwarder). At all three soil depths the main effect of moisture content and machine passes on penetration resistance was significant, but slash amounts alone did not significantly affect penetration resistance. After 12 passes, we measured the greatest penetration resistance in the medium soil moisture treatment at 5 to15 cm of soil depth. When evaluated at similar moisture contents after harvesting, the soil that was driest during machine traffic (low moisture treatment) had the lowest penetration resistance. Slash was important for protecting the soil against compaction in the medium and high soil moisture treatments. Penetration resistance did not significantly increase after the second pass of a fully loaded forwarder (31,752 kg) at any moisture content or slash level. Managing felling operations to take advantage of dry soil conditions or using slash when soils are moist may help reduce ruts and avoid long-term compaction impacts on this soil type.",Flat Creek; soil compaction; harvest impacts; logging impacts; North Idaho soils; cut-to-length; forest operations,Flat Creek,UIEF; Flat Creek,46.851008,-116.769498,,,,102,International Journal of Forest Engineering,Department of Forest Products,"International Journal of Forest Engineering 17(2): 11-17. From Treesearch, USDA Forest Service, https://www.fs.usda.gov/research/treesearch/43442",,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0013.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0013.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0013_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0013_th.jpg
uief_0014,Productivity of a Small Cut-To-Length Harvester in Northern Idaho,"Turner, Douglas R.",2004-01,Thesis,"The use of small cut-to-length harvesters in forest stands composed of small-diameter trees is of increasing interest to natural resource managers. This interest is due to the efficiency and cost-effectiveness of using small harvesters in the harvest of small diameter trees. This paper presents research regarding the productivity of a Neuson 11002 HV harvester in a clearcut with reserves and a thinning treatment of Douglas-fir tussock moth damaged stand, as well the investigation of the influence of tree branch characteristics upon harvester productivity. Tree heights, diameter at breast height (DBH), species, branch size and branch interval data were collected, to investigate the effect of these characteristics on productivity. An elemental time study was conducted using video footage of harvest operations to determine machine productivity. Production costs are estimated at $5.54/m3 in the clearcut, and $6.22/m3 for the thinning, on a scheduled machine hour and mean tree volume basis. Statistical analysis revealed that brush density, machine travel distance, tree DBH and branch size are influential upon tree harvest time in thinning. Branch size and branch interval are influential upon tree processing time, with branch size of high statistical significance. The Neuson 11002 HV harvester was found to be cost effective in the small diameter stand in which it was employed.",Douglas-fir tussock moth; cut-to-length harvester; clearcut with reserves; harvester productivity; brush density; branch characteristics; Neuson 11002 HV; Logmax 3000; small harvester; forest operations,Flat Creek,UIEF; Flat Creek,46.851013,-116.724478,NE 1/4 SE 1/4 S31,T41N,R3W,,,Department of Forest Products,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma99117187901851,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0014.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0014.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0014_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0014_th.jpg
uief_0015,Soil Compaction and Its Effect on Surface Runoff and Nutrient Changes,"Han, Han-Sup",2004,Research,Draft of a research paper discussing soil compaction issues in terms of forest operations and its effect on nutrients and runoff.,soil compaction; nutrient loss; surface runoff; stand condition improvement; North Idaho; skid trails; productivity loss; soil disturbance; erosion; cut-to-length; forest operations,UIEF,UIEF,46.869607,-116.733856,,,,,,,,,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0015.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0015.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0015_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0015_th.jpg
uief_0016,Regression and Simulation Models for Analysis of Residue Recovery in Association with Sawlog Harvests,"Lasiter, Mark",1984-09,Thesis,"Simulation was used to examine equipment alternatives and costs associated with recovery and processing of logging residue. Equipment models were developed from data recorded during harvesting operations involving residue recovery. Tests were performed on the validity of various models to establish their credibility for use with the SAPLOS harvesting system model. Simulation comparisons were made between the original yarding equipment studied on four sites and possible alternative yarders. Harvesting methods included a concurrent and double entry approach for the recovery of the logs and residue. Recovery costs were estimated for the various alternatives and conclusions drawn from the comparison of the simulated results. In smaller second growth timber, a concurrent recovery of the material was the better choice based on production and economics. For old growth stands containing a mix of large and small diameter timber, the double entry harvesting method was the favored alternative. Simulation can be used to plan the most economical balance of harvesting method and equipment.",Flat Creek; logging residue; logging costs; residue recovery; slash residue; slash recovery; SAPLOS; harvesting models; double entry harvesting method; forest operations,Flat Creek,UIEF; Flat Creek,46.855191,-116.757958,,,,"43, 45",,Department of Forest Products,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9934912001851,SD544.L38 1984,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0016.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0016.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0016_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0016_th.jpg
uief_0017,"Production, Costs, and Site Impacts for a Mini-Skidder When Skidding Small Diameter Trees","Leverick, Michael Wayne",1980-03,Thesis,"An existing small utility machine was modified to work as a small tree and log skidder. Several modifications were necessary to adapt the machine to a timber harvesting situation. The major modifications included design and fabrication of skid plates, grapple boom assembly brackets, grapple, operator and machine safety canopies, and rerouting hydraulic hoses. Cost analyses were made for two cases: (1) skidding thinned material directly to the landing with the small skidder and (2) prebunching thinned material to a main skid trail with the small skidder and moving the material to the landing with either a grapple or choker skidder. These cases were defined in terms of length of skidding distance to the landing. For shorter skidding distances, skidding costs were $177.27 per acre for direct skidding, $144.82 per acre for prebunching and subsequent transport with a grapple skidder, and $214.96 per acre for prebunching and subsequent transport with a choker skidder. For longer skidding distance, skidding costs were $216.66 per acre for direct skidding, $151.64 per acre for prebunching and subsequent transport with a grapple skidder, and $229.47 per acre for prebunching and subsequent transport with a choker skidder. The most important variables affecting turn time in the regression equations included skidding distance on primary and secondary skid trails, and trees and logs skidded per turn. Soil disturbance caused by the small skidder was evaluated in terms of soil compaction and aerial soil surface disturbance. Soil bulk density samples taken during a controlled experiment with soil moisture contents varying from 20.38 to 25.32 percent (%) indicated that soil compaction was limited to within six inches of the soil surface. Soil bulk density samples taken from the most heavily traveled skid trail on the test plot indicated that soil compaction was limited to within the top two inches of the soil surface. The results of the aerial soil surface disturbance study indicated that only 13% of the area was disturbed to a point where erosion could occur as a result of exposed mineral soil. Residual stand damage was evaluated in terms of percent damager by diameter class to the trees of the residual stand. Sapling-sized trees (31.98%) were damaged more heavily than pole-sized trees (17.545%). Use of a herringbone falling pattern helped keep stand damage within acceptable limits. The results of the study showed that a more durable machine is needed in these types of timber harvesting operations.",Flat Creek; West Hatter Creek; soil disturbance; soil compaction; small skidder; grapple skidder; chokers; cost analysis; small diameter trees; thinning operations; logging residue; forest operations,Flat Creek; West Hatter Creek,UIEF; Flat Creek; West Hatter Creek,46.851013,-116.724478,,,,,,Department of Forest Products,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9926730701851,SD388.L4,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0017.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0017.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0017_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0017_th.jpg
uief_0018,Skidding and Yarding Options for Smallwood,"Carey, Patricio",1987-09,Thesis,"This study compares performance, production, and costs of horse skidding methods in smallwood thinning operations in North Idaho forest. Two types of skidding operations were observed. A conventional single piece skidding method were compared to those required in pre-bunching system, where the logs were felled, bucked and pre-bunched during the felling activities by the sawyer. Evaluation of the system productivity through detailed time and production studies led to the development of predictive models of the work cycle elements. A higher piece rate production is obtained by skidding in bundles than with the conventional skidding method. No gains in volume per load were observed using either method, however, greater utilization and more product recovery was observed using the pre-bunching method. Under case study conditions of equal piece size the skidding cost is more sensitive to skidding distance in conventional skidding than skidding pre-bunched material. For total thinning costs under equal piece size conditions there was no break-even point between skidding methods. The pre-bunching skidding method had a lower cost for all distances analyzed. The pre-bunching skidding method is recommended when a greater degree of material utilization is desired and for longer skidding distances.",horse skidding; horse logging; cost comparison; North Idaho; forest operations,UIEF,UIEF,46.869607,-116.733856,,,,,,Department of Forest Products,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9943347601851,SD539.C3 1987,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0018.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0018.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0018_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0018_th.jpg
uief_0019,"Analysis of the Productivity, Cost, and Site Impacts of a Second-Generation Small-Log Skidder","Rummer, Robert Bruce",1982-04,Thesis,"A low-horsepower, rubber-tired skidder designed for the efficient removal of thinning residues has been developed at the University of Idaho. This thesis draws on the results of two previous small-log skidder projects: a computer simulation model and testing of the original mini-skidder design. The project continues with the testing and analysis of an improved design. A 43-hp backhoe power unit was obtained and converted for skidding use. Modifications included the addition of skidpans, a safety canopy, and a small hydraulic grapple mounted on the backhoe boom. Time/motion studies of this machine in three different stands were conducted. Evaluations of soil-compaction, soil disturbance, and residual damage were also performed. Production ranged from 47.6 cubic feet per hour to 201.6 cubic feet per hour. An improvement in the grapple design led to a significant increase in hourly piece production. Delay time was reduced during the project and machine availability in the last stand was 72.2% with a static ground pressure of 9 psi, the mini-skidder caused small, but statistically significant, increases in bulk density of the upper 6 inches of the skid trails. Areal soil disturbance of the stands was limited. An average of 80% of total stand area was classified as slightly disturbed. Damage to the residual stand from skidding operations occurred on 16.5% of the residual trees. Data from the field testing were used to develop regression equations for predicting turn-time. This project shows the feasibility of using a small machine to skid thinning residues. Skidding costs were approximately $200.00 per acre. A gross profit of 110% was realized in one stand by utilizing the recovered material for post and rail products. The general simulation model developed in an earlier small-log skidder project was revised to specifically model the improved skidder design. Results of the revised model accurately predict hourly piece production, but weight and volume production statistics are inconsistent. Even in its current form, however, the revised simulation model can be a valuable tool for evaluating the influence of stand and machine attributes on skidding production.",Flat Creek; small-log skidder; skidder; soil compaction; soil disturbance; time and motion; rubber-tired skidder; forest operations,Flat Creek,UIEF,46.851013,-116.724478,,,,,,Department of Forest Products,,,SD388.R8,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0019.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0019.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0019_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0019_th.jpg
uief_0020,A Study and Cost Analysis of a Cedar Pole Operation on a Timber Sale of the University of Idaho Experimental Forest,"Seale, Robert Henry",1942,Thesis,Study examining cost analysis of a cedar pole sale for the University of Idaho Experimental Forest.,timber sale; cedar poles; thuja plicata; cost analysis; Flat Creek; forest operations,Flat Creek,UIEF; Flat Creek,46.838429,-116.763199,,,,,,School of Forestry,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9937632201851,SD538.2.I2S4,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0020.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0020.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0020_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0020_th.jpg
uief_0021,An Integral Environmental Assessment for the East Hatter Creek Unit of the University of Idaho Experimental Forest,"Sepulveda, Norvin E.",1996,Thesis,"The East Hatter Creek Unit is one of the 4 major units of the Experimental Forest of the College of Forestry Wildlife and Range Sciences of the University of Idaho, Moscow Idaho. It consists of 1,300 acres of mature forest. This unit has neither a tactical nor an operational plan to provide direction for management and use of the land, including education, research, production and public use. Since 1952, there has been no grazing or fire activities and no other forms of active management of vegetation. This research paper specially focuses on the development of an environmental assessment for the East Hatter Creek watershed comprising 3,000 acres including the 1,300 acres of the East Hatter Creek Unit of the Experimental Forest. It consists of a no action and three forest management alternatives including the proposed action. The main objective is to combine the joint production of timber and white-tailed deer winter range while sustaining and enhancing water quality, riparian areas, wildlife, and aesthetic values. This paper was a compilation of the exercise class work made by students of the Integrated Natural Resources Planning class during spring of 1996, and the results are based on public opinion. A forest inventory to update the data of forest structure and composition of the West subunit of the East Hatter Creek Unit was made. In addition, a field survey to analyze the feasibility and environmental soundness of the proposed road was made as well.",East Hatter Creek; wildlife; timber production; white-tailed deer; winter range; riparian management; watershed management; environmental assessment; aesthetics; environmental assessment,East Hatter Creek,UIEF; East Hatter Creek,46.840526,-116.780027,,,,,,Department of Forest Products,,,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0021.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0021.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0021_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0021_th.jpg
uief_0022,Productivity of a Small Cut-To-Length Harvester in Northern Idaho,"Turner, Douglas R.",2004-01,Thesis,"The use of small cut-to-length harvesters in forest stands composed of small-diameter trees is of increasing interest to natural resource managers. This interest is due to the efficiency and cost-effectiveness of using small harvesters in the harvest of small-diameter trees. This paper presents research regarding the productivity of a Neuson 11002 HV harvester in a clearcut with reserves and a thinning treatment of Douglas-fir tussock moth damaged stand, as well the investigation of the influence of tree branch characteristics upon harvester productivity. Tree heights, diameter at breast height (DBH), species, branch size and branch interval data were collected, to investigate the effect of these characteristics on productivity. An elemental time study was conducted using video footage of harvest operations to determine machine productivity. Production costs are estimated at $5.54/m3 in the clearcut, and $6.22/m3 for the thinning, on a scheduled machine hour and mean tree volume basis. Statistical analysis revealed that brush density, machine travel distance, tree DBH and branch size are influential upon tree harvest time in thinning. Branch size and branch interval are influential upon tree processing time, with branch size of high statistical significance. The Neuson 11002 HV harvester was found to be cost effective in the small diameter stand in which it was employed.",Douglas-fir tussock moth; cut-to-length harvester; clearcut with reserves; harvester productivity; brush density; branch characteristics; Neuson 11002 HV; Logmax 3000; small harvester; forest operations,Flat Creek,UIEF; Flat Creek,46.855191,-116.757958,NE 1/4 SE 1/4 S31,T41N,R3W,"43, 45",,Department of Forest Products,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma99117187901851,SD388.T87 2004,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0022.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0022.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0022_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0022_th.jpg
